,job_title,income
148,기업 고위 임원,11562
55,보험 및 재무 관리자,9868
73,의료 전문가,9800
53,정보 시스템 운영자,9169
102,발전 및 배전 장비 운영자,9021
86,"기타 건설, 전기 및 생산 관리자",8925
144,법학자,8681
19,컴퓨터 하드웨어 및 통신 엔지니어링 전문가,8655
31,"전기, 전자 및 기계 공학 기술자 및 테스터",8594
21,"건설, 전기 및 생산 관리자",8491
36,금융 및 보험 전문가,8359
133,대학 교수 및 강사,8311
9,"국회의원, 고위공직자 및 공공기관 임원",8257
45,HR 및 관리 전문가,8153
2,관리 및 관리 지원 관리자,8059
37,금융 및 보험 관련 사무직,7910
107,안전관리 및 검사원,7879
111,학교 선생님,7849
92,기타 전문 서비스 관리자,7682
18,통신 및 방송 장비 엔지니어,7680
108,영업 및 운송 관리자,7542
52,정보시스템 개발 전문가,7460
26,고객 서비스 관리자,7423
106,"연구, 교육 및 법률 관리자",7409
46,건강 및 사회 복지 관리자,7279
101,"경찰, 소방 및 교도소 관련 종사자",7239
93,기타 영업 및 고객 서비스 관리자,7232
51,정보통신관련 관리자,7231
74,금속 및 재료 공학 기술자 및 테스터,7161
60,생명 및 자연과학 전문가,7160
67,경영계 서기,7099
69,"문화, 예술, 디자인, 영상 관련 매니저",7036
8,건축 및 토목 공학 기술자 및 테스터,6975
99,석유 및 화학 처리 장비 운영자,6922
58,법률 및 감사 사무원,6922
128,엔지니어 교육 및 교육,6883
121,통계 관련 서기,6761
89,기타 엔지니어링 전문가 및 관련 종사자,6705
103,"제품 기획, 판촉 및 연구 전문가",6669
65,주조 및 금속 가공 관련 기계 작업자,6622
56,생명과학 연구실,6580
10,자동조립라인 및 산업용 로봇 오퍼레이터,6451
6,항공기/선박 엔지니어 및 관제사,6447
16,화학 공학 기술자 및 테스터,6425.16
3,행정직 사무원,6348
54,영상통신기기 관련 설치 및 수리 인력,6255
78,광업 및 토목 관련 기능 종사자,6218
131,운송 차량 및 기계 관련 조립 인력,6169
77,군 장교,6152
76,금속 공작 기계 작업자,6132
82,장교 및 판금 장교,6103
43,물품 이동 장비 운영자,6066
123,기술영업 및 중개 관련 종사자,6039
110,영업사원,6037
20,건설 및 광산 기계 운영자,6012
91,기타 제조 관련 기계 운영자,5999
34,환경 공학 기술자 및 테스터,5856
32,전공,5825
0,제품 렌탈 직원,5820
50,인문사회과학 전문가,5819
142,"작가, 기자 및 출판 전문가",5762
5,냉난방 관련 설비 사업자,5721
14,화물열차 차장 및 관계종사자,5659
84,전기 전자 부품 및 제품 제조 장비 운영자,5657
75,금속 기계 부품 조립 소스,5599
85,전기 및 전자 장비 운영자,5591
39,식품 가공 관련 기계 운영자,5574
70,"환경, 청소 및 비용 관련 관리자",5564
1,회계 및 회계 사무원,5553
59,레저 및 스포츠 종사자,5551
79,"금형, 주조 및 단조 소스",5544
71,기계 장비 설치 및 유지 보수 인력,5528
137,용접공,5346
135,상하수도 처리 시스템 운영자,5339
66,인쇄 및 촬영 관련 기계 작업자,5334
30,전기 및 전자 설치 및 수리공,5303
104,재활용 처리 및 소각로 운영자,5291
4,행정 전문가,5272
29,전기전자부품 및 제품조립원,5232
147,배관공,5205
61,"문학, 기술 및 엔터테인먼트 강사",5197
141,건물 마무리 관련 기능에 종사하는 근로자,5181
63,장기하사 및 영장실장,5179
13,자동차 정비사,5150
140,건설구조 관련 기술 종사자,5095
132,여행·안내·접수 사무원,4915
143,디자이너,4906
120,스포츠 및 레크리에이션 전문가,4897
100,약사와 약초상,4879
12,자동차 운전자,4876
125,섬유 제조 및 가공 기계 운영자,4869
83,"화학, 고무 및 플라스틱 제품 생산 기계의 운영자",4834
22,건설관련기능인력,4831
130,운송 서비스 작업자,4809
27,고객 상담 및 기타 사무원,4791
95,기타 숙련공,4776
129,운송 장비 유지 보수 작업자,4760
119,사회복지관련 종사자,4730
139,"목재, 가구, 악기 및 기호 관련 기능 작업자",4677
122,매장 판매원,4676
41,외식업 종사자,4612
138,목재 및 종이 관련 기계 작업자,4606
47,의료 관련 종사자,4599
88,기타 교육 전문가,4589
136,결혼식 및 장례 직원,4550
62,축산 관련 종사자,4537
40,식품가공 관계자,4416
15,요리사와 요리사,4411
57,세탁 관련 기계 운영자,4376
28,배달부,4347
134,단순 작업자 언로드 및 로드,4326
23,공예 및 귀금속 세금 공원,4322
80,비금속 제품 생산자 운영자,4260
124,섬유 및 피혁 관련 기술직,4243
11,음료 제조 관련 기계 운영자,4231
126,"연극, 영화 및 비디오 전문가",4193
127,치료사 및 의료 기술자,4188
64,섬유 및 신발 관련 기계 작업자 및 조립 작업자,4153
112,비서 및 사무실 보조,4083
105,종교인,4030
38,어업 관련 종사자,3895
81,영양사,3890
146,간호사,3805
97,도장 및 도금 기계 작업자,3782
116,건설 및 광업의 단순 노동자,3685
33,검침·수거·주차 관련 종사자,3678
96,"화가, 사진작가, 공연예술가",3651
68,관리자 및 기타 문화 및 예술 관련 종사자,3636
44,경비원과 체커,3635
113,보안 및 보안 작업자,3625
114,선박 갑판 승무원 및 관련 인원,3623
98,"방문, 포장마차 및 통신판매 관련 직원",3534
7,의류제조 관련 기능직,3512
118,제조업 관련 단순근로자,3420
109,영업 관련 단순 사원,3354
48,원예 및 조경 작업자,3347
145,유치원 교사,3189
35,"에스테틱, 뷰티 및 관련 서비스 종사자",3153
25,"큐레이터, 사서 및 기록 관리자",3146
42,임업 관련 종사자,3100
90,기타 식품 가공 관련 기계 운영자,2891
72,의료 및 복지 관련 서비스 종사자,2593
94,기타 서비스 관련 단순 직원,2587
87,기타 미용/예식 및 의료 보조 서비스 종사자,2527
24,작물 재배 노동자,2346
17,청소기 및 환경 청소기,2303
115,단순 식품 노동자,2263
49,가사 및 육아 도우미,2175
117,농림어업 관련 단순근로자,1705
