,job_title,income
148,senior corporate executive,11562.73076923077
55,Insurance and Finance Manager,9868.43795620438
73,Medical professional,9800.221153846154
53,Information system operator,9169.439393939394
102,Power generation and distribution equipment operators,9021.1875
86,"Other construction, electricity and production managers",8925.156571428572
144,jurist,8681.725490196079
19,Computer Hardware and Communication Engineering Specialist,8655.270588235295
31,"Electrical, electronic and mechanical engineering technicians and testers",8594.538235294118
21,"Construction, electricity and production managers",8491.709237966867
36,Finance and insurance experts,8359.422143693182
133,University professors and lecturers,8311.345454545455
9,"Assembly members, senior public officials and executives of public organizations",8257.119047619048
45,HR and Management Professional,8153.262626262626
2,Administrative and management support manager,8059.403614457831
37,Finance and insurance related office workers,7910.066497176272
107,Safety management and inspector,7879.039716312057
111,School teacher,7849.331501057082
92,Other professional service manager,7682.7
18,Communication and broadcasting equipment engineer,7680.722222222223
108,Sales and transport manager,7542.143951612903
52,Information system development expert,7460.289814814815
26,Customer Service Manager,7423.894444444444
106,"Research, education and legal manager",7409.575
46,Health and social welfare manager,7279.050847457627
101,"Police, fire and prison related workers",7239.95085995086
93,Other sales and customer service managers,7232.3026315789475
51,Information and communication related manager,7231.264705882353
74,Metal and material engineering technicians and testers,7161.883720930233
60,Life and natural science experts,7160.178082191781
67,Management-related clerk,7099.493541876892
69,"Managers related to culture, art, design and video",7036.736842105263
8,Architectural and civil engineering technicians and testers,6975.917856826425
99,Petroleum and chemical processing equipment operators,6922.858974358975
58,Legal and Audit Office Workers,6922.840909090909
128,Train and train engineer,6883.823529411765
121,Statistics related clerk,6761.272727272727
89,Other engineering professionals and related workers,6705.677844311377
103,"Product planning, promotion and research expert",6669.7027027027025
65,Machine operators related to casting and metal processing,6622.043773584906
56,Laboratory for bio and natural sciences,6580.0
10,Automatic assembly line and industrial robot operator,6451.0
6,Aircraft/ship engineer and controller,6447.603389830508
16,Chemical engineering technicians and testers,6425.164102564102
3,Administrative clerk,6348.3610818814
54,Installation and repair personnel related to video and communication equipment,6255.938144329897
78,Mining and civil engineering related skills workers,6218.367857142856
131,Transport vehicle and machine-related assembly personnel,6169.131746031746
77,Military officer,6152.894736842105
76,Metal machine tool operator,6132.829813664596
82,Officer and sheet metal officer,6103.550819672131
43,Goods movement equipment operator,6066.359848484848
123,Technical sales and brokerage related workers,6039.900796812749
110,Salesperson,6037.349737533071
20,Construction and mining machinery operators,6012.149235474007
91,Other manufacturing related machine operators,5999.138461538461
34,Environmental engineering technician and tester,5856.489320388349
32,Electrician,5825.066203703704
0,A product rental worker,5820.152173913043
