title,link,description,pubDate,title_description
"구직사이트 데이터·인턴십 지원…정부, 청년 디지털 지원책 발표",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=005&aid=0001488549,"먼저 학생과 <b>취업</b>준비생에게는 이달부터 구직사이트에 대한 데이터 이용료 면제, 데이터 추가 제공 등... 스타트업 종사자에 대해서는 400억원 규모의 KIF(Kore <b>IT</b> Fund) 내 청년기업 특화펀드를 조성하고 선배 디지털... ","Thu, 02 Dec 2021 14:24:00 +0900","구직사이트 데이터·인턴십 지원…정부, 청년 디지털 지원책 발표 먼저 학생과 <b>취업</b>준비생에게는 이달부터 구직사이트에 대한 데이터 이용료 면제, 데이터 추가 제공 등... 스타트업 종사자에 대해서는 400억원 규모의 KIF(Kore <b>IT</b> Fund) 내 청년기업 특화펀드를 조성하고 선배 디지털... "
"정부, 디지털 청년 지원 대폭 확대…비전공자도 챙긴다",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=018&aid=0005098839,학생·<b>취업</b>준비생 1000명에게 내년부터 교육과정 설계 및 취·창업 멘토링을 제공하기로 했다. 또 이달부터... 이밖에 코리아<b>IT</b>펀드(KIF) 내 청년기업 특화펀드를 400억원 조성해 민·관 협업 지원체계를 구축하는 한편... ,"Thu, 02 Dec 2021 14:16:00 +0900","정부, 디지털 청년 지원 대폭 확대…비전공자도 챙긴다 학생·<b>취업</b>준비생 1000명에게 내년부터 교육과정 설계 및 취·창업 멘토링을 제공하기로 했다. 또 이달부터... 이밖에 코리아<b>IT</b>펀드(KIF) 내 청년기업 특화펀드를 400억원 조성해 민·관 협업 지원체계를 구축하는 한편... "
올해 직업계고 <b>취업</b>률 55%…‘1년 내 퇴사’ 35%,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001919925,"전체 졸업자 대비 진학률은 45%로, <b>취업</b>자(2만2583명) 보다 진학자(3만5529명)가 1.57배 더 많았다. 교육부는 산업구조 변화, 정보기술(<b>IT</b>) 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화... ","Thu, 02 Dec 2021 14:13:00 +0900","올해 직업계고 <b>취업</b>률 55%…‘1년 내 퇴사’ 35% 전체 졸업자 대비 진학률은 45%로, <b>취업</b>자(2만2583명) 보다 진학자(3만5529명)가 1.57배 더 많았다. 교육부는 산업구조 변화, 정보기술(<b>IT</b>) 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화... "
"배재대 IPP사업단, <b>IT</b>관련 기업 15곳 초청 설명회 열어",http://news.unn.net/news/articleView.html?idxno=520252,등 <b>IT</b>관련 기업 15곳을 초청해 1일 설명회를 가졌다. 설명회에는 AI·SW창의융합대학 3학년 재학생 100여 명이... 곧바로 <b>취업</b>으로 연계된다. 사업 참여학생들은 1년 간 등록금의 50% 범위 내에서 장학금을 받는 것은 물론... ,"Thu, 02 Dec 2021 14:02:00 +0900","배재대 IPP사업단, <b>IT</b>관련 기업 15곳 초청 설명회 열어 등 <b>IT</b>관련 기업 15곳을 초청해 1일 설명회를 가졌다. 설명회에는 AI·SW창의융합대학 3학년 재학생 100여 명이... 곧바로 <b>취업</b>으로 연계된다. 사업 참여학생들은 1년 간 등록금의 50% 범위 내에서 장학금을 받는 것은 물론... "
"[교육소식]배재대 IPP사업단, 일학습병행사업 <b>IT</b>기업 설명회 등",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010867309,"일학습병행사업은 <b>IT</b>와 바이오, 마케팅 관련분야 기업에 모두 30명을 선발, 파견한다. 이들은 내년 3~7월 대학에서 관련교육을 받고 참여기업에서 현장실습을 마치면 <b>취업</b>으로 연계된다. 배재대 AI·SW중심대학사업단... ","Thu, 02 Dec 2021 13:43:00 +0900","[교육소식]배재대 IPP사업단, 일학습병행사업 <b>IT</b>기업 설명회 등 일학습병행사업은 <b>IT</b>와 바이오, 마케팅 관련분야 기업에 모두 30명을 선발, 파견한다. 이들은 내년 3~7월 대학에서 관련교육을 받고 참여기업에서 현장실습을 마치면 <b>취업</b>으로 연계된다. 배재대 AI·SW중심대학사업단... "
"&quot;스타트업은 행복주택 우선입주&quot;…정부, 청년 지원책 발표",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000640028,"마련, <b>취업</b>·창업·창작·연구 기회를 제공한다. 청년들의 성장에 필요한 디지털 자원 제공과 민·관 협력... 디지털 스타트업 종사자 대상 400억원 규모의 KIF(Korea <b>IT</b> Fund) 내 청년기업 특화펀드 조성도 추진한다. 청년... ","Thu, 02 Dec 2021 13:31:00 +0900","&quot;스타트업은 행복주택 우선입주&quot;…정부, 청년 지원책 발표 마련, <b>취업</b>·창업·창작·연구 기회를 제공한다. 청년들의 성장에 필요한 디지털 자원 제공과 민·관 협력... 디지털 스타트업 종사자 대상 400억원 규모의 KIF(Korea <b>IT</b> Fund) 내 청년기업 특화펀드 조성도 추진한다. 청년... "
'디지털 청년 지원책' 공개…디지털 대전환 인력 수요 대응,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010867255,"학생·<b>취업</b>준비생 1000명에게 내년부터 교육과정 설계 및 취·창업 멘토링을 제공하기로 했다. 또 이달부터... 디지털 스타트업 종사자 특화 지원 강화 코리아<b>IT</b>펀드(KIF) 내 청년기업 특화펀드를 400억원 조성, 선배 디지털... ","Thu, 02 Dec 2021 13:30:00 +0900","'디지털 청년 지원책' 공개…디지털 대전환 인력 수요 대응 학생·<b>취업</b>준비생 1000명에게 내년부터 교육과정 설계 및 취·창업 멘토링을 제공하기로 했다. 또 이달부터... 디지털 스타트업 종사자 특화 지원 강화 코리아<b>IT</b>펀드(KIF) 내 청년기업 특화펀드를 400억원 조성, 선배 디지털... "
"“인턴십부터 임대주택 우선입주까지” 정부, 청년 디지털 전환 지원 강화",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=277&aid=0005009293,"학생과 <b>취업</b>준비생을 대상으로 내년 4000명 규모로 국내외 인턴십 기회를 마련하고, 청년 소상공인... 먼저 400억원 규모의 KIF(Korea <b>IT</b> Fund) 내 청년기업 특화펀드를 조성하고, 선배 디지털 기업인들의 ‘디지털 청년 동행... ","Thu, 02 Dec 2021 13:30:00 +0900","“인턴십부터 임대주택 우선입주까지” 정부, 청년 디지털 전환 지원 강화 학생과 <b>취업</b>준비생을 대상으로 내년 4000명 규모로 국내외 인턴십 기회를 마련하고, 청년 소상공인... 먼저 400억원 규모의 KIF(Korea <b>IT</b> Fund) 내 청년기업 특화펀드를 조성하고, 선배 디지털 기업인들의 ‘디지털 청년 동행... "
"정부, 내년부터 5대 초광역권 거점 '메타버스 아카데미' 운영",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=421&aid=0005760481,"과기정통부에 따르면 정부는 <b>IT</b>분야의 핵심으로 떠오른 메타버스와 관련 5개 초과역권 지역 거점을 기반으로... 채용분야와 관련된 직무과제 수행·평가를 통해 기업이 인재를 직접 채용하고, <b>취업</b> 특강 등 구직자 역량을... ","Thu, 02 Dec 2021 13:30:00 +0900","정부, 내년부터 5대 초광역권 거점 '메타버스 아카데미' 운영 과기정통부에 따르면 정부는 <b>IT</b>분야의 핵심으로 떠오른 메타버스와 관련 5개 초과역권 지역 거점을 기반으로... 채용분야와 관련된 직무과제 수행·평가를 통해 기업이 인재를 직접 채용하고, <b>취업</b> 특강 등 구직자 역량을... "
"블라인드 채용 확대·일자리 연계 임대주택 제공…과기부, 디지털 청년정책 발...",http://www.newspim.com/news/view/20211202000342,이공계 미<b>취업</b>자의 산업계 진출을 지원하는 이공계 전문기술 연수 대상으로 올해 1300명에서 내년... 통신3사를 중심으로 한 KIF(Korea <b>IT</b> Fund) 내 400억원 규모 청년기업 특화 펀드를 내년에 조성해 청년 스타트업을... ,"Thu, 02 Dec 2021 13:30:00 +0900","블라인드 채용 확대·일자리 연계 임대주택 제공…과기부, 디지털 청년정책 발... 이공계 미<b>취업</b>자의 산업계 진출을 지원하는 이공계 전문기술 연수 대상으로 올해 1300명에서 내년... 통신3사를 중심으로 한 KIF(Korea <b>IT</b> Fund) 내 400억원 규모 청년기업 특화 펀드를 내년에 조성해 청년 스타트업을... "
