title,link,description,pubDate,title_description
"이재명 “전두환, 경제에는 성과…박정희, 눈에 띄는 정치인”",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003659032,"이 후보는 11일 경북 칠곡의 다부동 전적기념관을 방문한 자리에서 “전두환도 공과가 공존한다”며 “전체적으로 보면 전두환이 삼저호황(저금리·저유가·저달러)을 잘 활용해서 경제가 망가지지 않도록, 경제가 제대로... ","Sat, 11 Dec 2021 15:38:00 +0900","이재명 “전두환, 경제에는 성과…박정희, 눈에 띄는 정치인” 이 후보는 11일 경북 칠곡의 다부동 전적기념관을 방문한 자리에서 “전두환도 공과가 공존한다”며 “전체적으로 보면 전두환이 삼저호황(저금리·저유가·저달러)을 잘 활용해서 경제가 망가지지 않도록, 경제가 제대로... "
"바이든, 숄츠 獨 총리와 첫 전화 회담",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=014&aid=0004754024,바이든 부통령은 지난 7일 블라디미르 푸틴 러시아 대통령과 화상 정상회담 때 러시아가 우크라이나를 침공할 경우 강력한 경제적 제재를 취하겠다고 경고했다. 숄츠 총리는 10일 우크라이나 국경을 따라 러시아군을... ,"Sat, 11 Dec 2021 15:38:00 +0900","바이든, 숄츠 獨 총리와 첫 전화 회담 바이든 부통령은 지난 7일 블라디미르 푸틴 러시아 대통령과 화상 정상회담 때 러시아가 우크라이나를 침공할 경우 강력한 경제적 제재를 취하겠다고 경고했다. 숄츠 총리는 10일 우크라이나 국경을 따라 러시아군을... "
바닷길 누비는 '경제안보 대사'?…미리 보는 한국형 항모,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=008&aid=0004682084,특히 '경제안보'(economic securit) 시대인 오늘날엔 경항모가 과거보다 더 필요해졌다는 게 해군의 시각이다. 실제 G2(미국·중국) 패권 구도와 자국중심주의 영향으로 세계 각국은 경제·안보를 결합한 정책을 펼치고... ,"Sat, 11 Dec 2021 15:35:00 +0900",바닷길 누비는 '경제안보 대사'?…미리 보는 한국형 항모 특히 '경제안보'(economic securit) 시대인 오늘날엔 경항모가 과거보다 더 필요해졌다는 게 해군의 시각이다. 실제 G2(미국·중국) 패권 구도와 자국중심주의 영향으로 세계 각국은 경제·안보를 결합한 정책을 펼치고... 
"강원도 간 윤석열 “환경영향평가, 정답 없다...결국 정치적 판단으로 결정”",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000779773,"‘강원경제특별자치도’ 공약과 관련해 “해양수산부, 환경부 등 중앙정부의 규제를 철폐해 강원도가... 그는 “대포항을 개발하는 데 17년이 걸렸다고 하는데, 지역 경제에 고용 창출 등 좋은 영향을 미치는 사업이... ","Sat, 11 Dec 2021 15:35:00 +0900","강원도 간 윤석열 “환경영향평가, 정답 없다...결국 정치적 판단으로 결정” ‘강원경제특별자치도’ 공약과 관련해 “해양수산부, 환경부 등 중앙정부의 규제를 철폐해 강원도가... 그는 “대포항을 개발하는 데 17년이 걸렸다고 하는데, 지역 경제에 고용 창출 등 좋은 영향을 미치는 사업이... "
"[EBN 오늘(11일) 이슈 종합] 삼성전자 '무선→MX사업부', 11월 고용도 호조세...",https://www.ebn.co.kr/news/view/1511752/?sc=Naver,주요 경제 지표가 발표될 예정이다. 통계청은 오는 15일 11월 고용동향을 발표한다. 10월까지 유지됐던... 기획재정부는 최근의 경제 동향 분석과 경기 판단을 담은 '경제동향'(그린북) 12월호를 오는 17일 발간한다.... ,"Sat, 11 Dec 2021 15:32:00 +0900","[EBN 오늘(11일) 이슈 종합] 삼성전자 '무선→MX사업부', 11월 고용도 호조세... 주요 경제 지표가 발표될 예정이다. 통계청은 오는 15일 11월 고용동향을 발표한다. 10월까지 유지됐던... 기획재정부는 최근의 경제 동향 분석과 경기 판단을 담은 '경제동향'(그린북) 12월호를 오는 17일 발간한다.... "
"윤석열, 이틀째 강원 돌며 바닥 민심 다지기",http://tbs.seoul.kr/news/newsView.do?typ_800=9&idx_800=3457129&seq_800=20449716,선대위 수석대변인으로 활동하고 있는 이양수 의원 지역구인 속초를 방문했습니다. 윤 후보는 이 자리에서 강원도의 토지 이용과 관련한 중층 규제 철폐를 강조하며 강원도를 `경제 특별 자치도`로 바꾸겠다고 공약했습니다.,"Sat, 11 Dec 2021 15:25:00 +0900","윤석열, 이틀째 강원 돌며 바닥 민심 다지기 선대위 수석대변인으로 활동하고 있는 이양수 의원 지역구인 속초를 방문했습니다. 윤 후보는 이 자리에서 강원도의 토지 이용과 관련한 중층 규제 철폐를 강조하며 강원도를 `경제 특별 자치도`로 바꾸겠다고 공약했습니다."
초등생 인질로 억대 금품 요구한 30대 징역 4년… 택배기사로 위장해 주거침입,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=417&aid=0000763559,A씨는 동물원 사육사와 정수기 영업사원 등으로 일하다 지난해 직장을 잃어 경제적 어려움을 겪자 이 같은 범행을 저질렀다. 1심인 춘천지법 강릉지원 제2형사부는 “궁핍한 가계상황을 벗어나기 위해 이 사건에 이른... ,"Sat, 11 Dec 2021 15:23:00 +0900",초등생 인질로 억대 금품 요구한 30대 징역 4년… 택배기사로 위장해 주거침입 A씨는 동물원 사육사와 정수기 영업사원 등으로 일하다 지난해 직장을 잃어 경제적 어려움을 겪자 이 같은 범행을 저질렀다. 1심인 춘천지법 강릉지원 제2형사부는 “궁핍한 가계상황을 벗어나기 위해 이 사건에 이른... 
정부 CPTPP 가입 유력…13일 대외경제장관회의서 '안건' 논의,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005104703,정부가 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입을 유력하게 검토한다. 홍남기 경제부총리 겸 기획재정부 장관이 10일 서울 종로구 정부서울청사에서 인천-서울 영상으로 열린 신종 코로나바이러스... ,"Sat, 11 Dec 2021 15:23:00 +0900",정부 CPTPP 가입 유력…13일 대외경제장관회의서 '안건' 논의 정부가 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입을 유력하게 검토한다. 홍남기 경제부총리 겸 기획재정부 장관이 10일 서울 종로구 정부서울청사에서 인천-서울 영상으로 열린 신종 코로나바이러스... 
[인사] 농협중앙회·농협경제지주,http://www.newspim.com/news/view/20211210000945,김종혁 &lt;농협경제지주&gt; ◇ 농업경제 부서장 ▲ 경제기획부장 정승일 ▲ 회원경제부장 이동영 ▲ 디지털경제부장 맹석인 ▲ 산지원예부장 김영일 ▲ 양곡부장 백형일 ▲ 인삼특작부장 박하완 ▲ 자재부장 석종수... ,"Sat, 11 Dec 2021 15:21:00 +0900",[인사] 농협중앙회·농협경제지주 김종혁 &lt;농협경제지주&gt; ◇ 농업경제 부서장 ▲ 경제기획부장 정승일 ▲ 회원경제부장 이동영 ▲ 디지털경제부장 맹석인 ▲ 산지원예부장 김영일 ▲ 양곡부장 백형일 ▲ 인삼특작부장 박하완 ▲ 자재부장 석종수... 
"美, 숄츠 독일 신임총리와 첫회담 ...&quot;우크라 사태 논의&quot;",https://www.sisa-news.com/news/article.html?no=182796,강력한 경제적 제재를 취하겠다고 경고했다. 이에 푸틴 대통령은 북대서양조약기구(NATO)가 동쪽으로 더는... 옐런 재무장관은 러시아 경제가 현저한 대가를 지불하도록 도입하는 제재와 관련해 독일과 협력할 의향을... ,"Sat, 11 Dec 2021 15:20:00 +0900","美, 숄츠 독일 신임총리와 첫회담 ...&quot;우크라 사태 논의&quot; 강력한 경제적 제재를 취하겠다고 경고했다. 이에 푸틴 대통령은 북대서양조약기구(NATO)가 동쪽으로 더는... 옐런 재무장관은 러시아 경제가 현저한 대가를 지불하도록 도입하는 제재와 관련해 독일과 협력할 의향을... "
