title,link,description,pubDate,title_description
[퀄컴 스냅드래곤 서밋 2021] 알렉스 카투지안 &quot;디지털과 현실 합쳐져...메타...,http://www.econovill.com/news/articleView.html?idxno=557676,다양한 경제 부문에서도 상호 작용할 수 있다&quot;고 말했다. 그가 오큘러스의 예를 통해 말한 것은 메타버스로 향하는 기기의 생활밀착형 전략이다. 거추장스러운 라인과 연결되지 않아 행동에 제약이 없고 점점 그 크기도... ,"Thu, 02 Dec 2021 19:54:00 +0900",[퀄컴 스냅드래곤 서밋 2021] 알렉스 카투지안 &quot;디지털과 현실 합쳐져...메타... 다양한 경제 부문에서도 상호 작용할 수 있다&quot;고 말했다. 그가 오큘러스의 예를 통해 말한 것은 메타버스로 향하는 기기의 생활밀착형 전략이다. 거추장스러운 라인과 연결되지 않아 행동에 제약이 없고 점점 그 크기도... 
"광주시, 수소생산기지 착공…반경 70㎞ 수소 공급 가능",http://www.smartfn.co.kr/view.php?ud=202112021453409795cbdd385abe_46,수소경제 활성화 기반 구축 광주시가 2일 광산구 평동3차산업단지에서 광주 수소생산기지 건설공사를... 수소경제 활성화를 위한 수소산업 경제기반 마련에 중요한 역할을 할 것으로 기대된다. 손경종 시... ,"Thu, 02 Dec 2021 19:54:00 +0900","광주시, 수소생산기지 착공…반경 70㎞ 수소 공급 가능 수소경제 활성화 기반 구축 광주시가 2일 광산구 평동3차산업단지에서 광주 수소생산기지 건설공사를... 수소경제 활성화를 위한 수소산업 경제기반 마련에 중요한 역할을 할 것으로 기대된다. 손경종 시... "
"대구한의대, 대한민국 농촌재능나눔대상서 농림축산식품부장관상 수상",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000733958,"대구한의대는 지난 5년간 농촌지역 9천여 명의 주민을 대상으로 지역 경제 활성화, 건강 및 복지 증진, 환경개선, 교육 분야에서 다양한 재능나눔 활동을 수행하며 농촌지역 발전에 기여해왔다. 변창훈 총장은 &quot;코로나19... ","Thu, 02 Dec 2021 19:53:00 +0900","대구한의대, 대한민국 농촌재능나눔대상서 농림축산식품부장관상 수상 대구한의대는 지난 5년간 농촌지역 9천여 명의 주민을 대상으로 지역 경제 활성화, 건강 및 복지 증진, 환경개선, 교육 분야에서 다양한 재능나눔 활동을 수행하며 농촌지역 발전에 기여해왔다. 변창훈 총장은 &quot;코로나19... "
"[주목! 2022 대선공약] 김동연 &quot;분권형 대통령제 도입, 국회의원 3선 초과 금...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=029&aid=0002709258,대선출마를 선언한 김동연 전 경제부총리가 분권형 대통령제를 도입하고 국회의원 3선 초과를 금지하는 '권력구조 개혁' 공약을 내놨다. 2일 김동연 캠프에 따르면 김 전 부총리는 '권력 구조 대개혁 5호 공약'으로... ,"Thu, 02 Dec 2021 19:52:00 +0900","[주목! 2022 대선공약] 김동연 &quot;분권형 대통령제 도입, 국회의원 3선 초과 금... 대선출마를 선언한 김동연 전 경제부총리가 분권형 대통령제를 도입하고 국회의원 3선 초과를 금지하는 '권력구조 개혁' 공약을 내놨다. 2일 김동연 캠프에 따르면 김 전 부총리는 '권력 구조 대개혁 5호 공약'으로... "
스마트시티·스타트업 분야 전문가 한 자리에…국제심포지엄 7일 개최,https://ilyo.co.kr/?ac=article_view&entry_id=417902,디지털경제부 장관을 비롯한 우리나라와 프랑스의 전문가들이 스마트시티·스타트업 관련 정책과 혁신 사례를 공유하고 나아가야 할 방향을 모색하는 국제 심포지엄이 열린다. 인천경제자유구역청은 주한... ,"Thu, 02 Dec 2021 19:52:00 +0900",스마트시티·스타트업 분야 전문가 한 자리에…국제심포지엄 7일 개최 디지털경제부 장관을 비롯한 우리나라와 프랑스의 전문가들이 스마트시티·스타트업 관련 정책과 혁신 사례를 공유하고 나아가야 할 방향을 모색하는 국제 심포지엄이 열린다. 인천경제자유구역청은 주한... 
의붓딸의 모욕적인 말에 분노해 흉기 살해한 50대 징역 20년,http://www.jjn.co.kr/news/articleView.html?idxno=840312,A씨는 건강 문제와 곤궁한 경제적 상황을 한탄하던 중 B씨로부터 모욕적인 언사를 듣고 홧김에 범행한 것으로 조사됐다. 재판부는 &quot;피고인은 흉기에 찔린 피해자가 도움을 받으려고 현관문 방향으로 이동했지만... ,"Thu, 02 Dec 2021 19:52:00 +0900",의붓딸의 모욕적인 말에 분노해 흉기 살해한 50대 징역 20년 A씨는 건강 문제와 곤궁한 경제적 상황을 한탄하던 중 B씨로부터 모욕적인 언사를 듣고 홧김에 범행한 것으로 조사됐다. 재판부는 &quot;피고인은 흉기에 찔린 피해자가 도움을 받으려고 현관문 방향으로 이동했지만... 
"문 대통령, 오스틴 미 국방장관 만나 &quot;종전선언 지지 당부&quot;",http://www.newstomato.com/ReadNews.aspx?no=1091423&inflow=N,문 대통령은 또 지난 9월 하와이에서 열린 한미 유해 상호 인수식을 위해 협력과 지원을 아끼지 않은 미국 측에 감사의 뜻을 전하며 &quot;한미동맹이 안보 동맹을 넘어서 경제·기술·보건 등 미래지향적이고 포괄적인 동맹으로... ,"Thu, 02 Dec 2021 19:52:00 +0900","문 대통령, 오스틴 미 국방장관 만나 &quot;종전선언 지지 당부&quot; 문 대통령은 또 지난 9월 하와이에서 열린 한미 유해 상호 인수식을 위해 협력과 지원을 아끼지 않은 미국 측에 감사의 뜻을 전하며 &quot;한미동맹이 안보 동맹을 넘어서 경제·기술·보건 등 미래지향적이고 포괄적인 동맹으로... "
"한은, 3Q 경제성장률 0.3% &quot;오미크론 변수 빨간불&quot;",http://www.newsprime.co.kr/news/article.html?no=557117,신종 코로나바이러스 감염증 4차 유행에 올해 3분기 우리나라의 경제성장률이 0.3%에 그쳤다. 실질... 남은 4분기 1.03%가 넘는 성장률을 기록해야 한은이 올해 제시한 경제성장률 4% 달성이 가능하다. 신승철 한은... ,"Thu, 02 Dec 2021 19:52:00 +0900","한은, 3Q 경제성장률 0.3% &quot;오미크론 변수 빨간불&quot; 신종 코로나바이러스 감염증 4차 유행에 올해 3분기 우리나라의 경제성장률이 0.3%에 그쳤다. 실질... 남은 4분기 1.03%가 넘는 성장률을 기록해야 한은이 올해 제시한 경제성장률 4% 달성이 가능하다. 신승철 한은... "
코로나 백신 매년 맞을까… 화이자 CEO의 대답은,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=018&aid=0005099180,불라 CEO는 “중요한 건 백신이 수백만 명을 살렸다는 점이다”라며 “우리가 세계 경제에서 수조 달러를 아껴줬다”라고 반박했다. 화이자 백신 공급량에 대해선 올해 말이면 30억 회분에 달하고 내년엔 40억 회분이... ,"Thu, 02 Dec 2021 19:51:00 +0900",코로나 백신 매년 맞을까… 화이자 CEO의 대답은 불라 CEO는 “중요한 건 백신이 수백만 명을 살렸다는 점이다”라며 “우리가 세계 경제에서 수조 달러를 아껴줬다”라고 반박했다. 화이자 백신 공급량에 대해선 올해 말이면 30억 회분에 달하고 내년엔 40억 회분이... 
②“구강암 걸리고 폐어구에 꼬리 잘려” 제주 돌고래의 끊임없는 수난 [라스...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=016&aid=0001920046,"지난 9월부터 11월까지 헤럴드경제 〈라스트 씨〉 취재팀이 추적한 결과, 관광객을 태운 배들이 아침부터... “고래도 인간들처럼 포유류입니다.” 제주에서 만난 연구자 모두가 한 목소리로 헤럴드경제 〈라스트 씨〉... ","Thu, 02 Dec 2021 19:51:00 +0900","②“구강암 걸리고 폐어구에 꼬리 잘려” 제주 돌고래의 끊임없는 수난 [라스... 지난 9월부터 11월까지 헤럴드경제 〈라스트 씨〉 취재팀이 추적한 결과, 관광객을 태운 배들이 아침부터... “고래도 인간들처럼 포유류입니다.” 제주에서 만난 연구자 모두가 한 목소리로 헤럴드경제 〈라스트 씨〉... "
