title,link,description,pubDate,title_description
직업계고 취업률 취업보다 진학 더 많다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0005009435,취업자만명보다 진학자만명가 배 많다 올해 진학자 중 가 전문대로 진학했다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 ,"Thu, 02 Dec 2021 15:21:00 +0900",직업계고 취업률 취업보다 진학 더 많다 취업자만명보다 진학자만명가 배 많다 올해 진학자 중 가 전문대로 진학했다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 
한국교통대 대학일자리개발원 취업성공 도전수기 공모전 개최,http://www.veritas-a.com/news/articleView.html?idxno=399436,온라인 모의입사지원데이 진로로드맵경진대회 취업프로그램아이디어공모전 여대생이미지메이킹  직무분석경진대회 자기소개서컨설팅 입사서류특강    등의 다양한 프로그램을 연중 운영하고 ,"Thu, 02 Dec 2021 15:18:00 +0900",한국교통대 대학일자리개발원 취업성공 도전수기 공모전 개최 온라인 모의입사지원데이 진로로드맵경진대회 취업프로그램아이디어공모전 여대생이미지메이킹  직무분석경진대회 자기소개서컨설팅 입사서류특강    등의 다양한 프로그램을 연중 운영하고 
해커스자격증 공기업 취업 대비 공기업 자격증 패스 제공,https://www.ekn.kr/web/view.php?key=20211202001513292,컴활  급  기초인강 종온라인 모의고사 공기업 채용 트렌드자소서 강의 자소서 취업 인강 만 원 할인쿠폰을 제공하며  한국어 샘플 강의 수강 후기 작성 시에는 만 원 할인쿠폰도 제공한다 또 자격 ,"Thu, 02 Dec 2021 15:16:00 +0900",해커스자격증 공기업 취업 대비 공기업 자격증 패스 제공 컴활  급  기초인강 종온라인 모의고사 공기업 채용 트렌드자소서 강의 자소서 취업 인강 만 원 할인쿠폰을 제공하며  한국어 샘플 강의 수강 후기 작성 시에는 만 원 할인쿠폰도 제공한다 또 자격 
비전공자 지원에 청년주택 우선 입주 정부 디지털 인재 키운다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004749332,정부는 디지털 전환 시대 청년들이 안착할 수 있도록 학생과 취업준비생을 대상으로 내년 명 규모로 분야의 핵심으로 떠오른 메타버스와 관련 해 내년 개 지역 거점에 메타버스 아카데미를 운영한다 ,"Thu, 02 Dec 2021 15:12:00 +0900",비전공자 지원에 청년주택 우선 입주 정부 디지털 인재 키운다 정부는 디지털 전환 시대 청년들이 안착할 수 있도록 학생과 취업준비생을 대상으로 내년 명 규모로 분야의 핵심으로 떠오른 메타버스와 관련 해 내년 개 지역 거점에 메타버스 아카데미를 운영한다 
청년층 구직 사이트 데이터 이용료 면제군장병  교육,http://it.chosun.com/site/data/html_dir/2021/12/02/2021120201805.html,경제활동 준비 시기에 있는 학생과 취업 준비생들에게는 월부터 구직사이트에 대한 데이터 이용료를 억원 규모의    내 청년기업 특화펀드를 조성하고 선배 디지털 기업인들의 디지털 청년 동행 ,"Thu, 02 Dec 2021 15:00:00 +0900",청년층 구직 사이트 데이터 이용료 면제군장병  교육 경제활동 준비 시기에 있는 학생과 취업 준비생들에게는 월부터 구직사이트에 대한 데이터 이용료를 억원 규모의    내 청년기업 특화펀드를 조성하고 선배 디지털 기업인들의 디지털 청년 동행 
인천 폴리텍 학과 개편으로 전문 기술인재 선도,http://www.joongdo.co.kr/web/view.php?key=20211201010000053,신민화 융합소프트웨어과 학과장은 융합소프트웨어과 졸업생들의 취업 지원을 위해 관련 업체들과 또한 기술 접목을 위해 교원들을 대상으로 전공자의 경우 심화 교육 비전공자는 친화교육 ,"Thu, 02 Dec 2021 14:56:00 +0900",인천 폴리텍 학과 개편으로 전문 기술인재 선도 신민화 융합소프트웨어과 학과장은 융합소프트웨어과 졸업생들의 취업 지원을 위해 관련 업체들과 또한 기술 접목을 위해 교원들을 대상으로 전공자의 경우 심화 교육 비전공자는 친화교육 
직업계고 취업률 전년 대비 포인트 상승,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003113916,전체 졸업자 대비 진학률은 로 취업자만명보다 진학자만명가 더 많았다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화 수준의 ,"Thu, 02 Dec 2021 14:46:00 +0900",직업계고 취업률 전년 대비 포인트 상승 전체 졸업자 대비 진학률은 로 취업자만명보다 진학자만명가 더 많았다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화 수준의 
구직사이트 데이터인턴십 지원정부 청년 디지털 지원책 발표,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=005&aid=0001488549,먼저 학생과 취업준비생에게는 이달부터 구직사이트에 대한 데이터 이용료 면제 데이터 추가 제공 등 스타트업 종사자에 대해서는 억원 규모의    내 청년기업 특화펀드를 조성하고 선배 디지털 ,"Thu, 02 Dec 2021 14:24:00 +0900",구직사이트 데이터인턴십 지원정부 청년 디지털 지원책 발표 먼저 학생과 취업준비생에게는 이달부터 구직사이트에 대한 데이터 이용료 면제 데이터 추가 제공 등 스타트업 종사자에 대해서는 억원 규모의    내 청년기업 특화펀드를 조성하고 선배 디지털 
정부 디지털 청년 지원 대폭 확대비전공자도 챙긴다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=018&aid=0005098839,학생취업준비생 명에게 내년부터 교육과정 설계 및 취창업 멘토링을 제공하기로 했다 또 이달부터 이밖에 코리아펀드 내 청년기업 특화펀드를 억원 조성해 민관 협업 지원체계를 구축하는 한편 ,"Thu, 02 Dec 2021 14:16:00 +0900",정부 디지털 청년 지원 대폭 확대비전공자도 챙긴다 학생취업준비생 명에게 내년부터 교육과정 설계 및 취창업 멘토링을 제공하기로 했다 또 이달부터 이밖에 코리아펀드 내 청년기업 특화펀드를 억원 조성해 민관 협업 지원체계를 구축하는 한편 
올해 직업계고 취업률 년 내 퇴사 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001919925,전체 졸업자 대비 진학률은 로 취업자만명 보다 진학자만명가 배 더 많았다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화 ,"Thu, 02 Dec 2021 14:13:00 +0900",올해 직업계고 취업률 년 내 퇴사  전체 졸업자 대비 진학률은 로 취업자만명 보다 진학자만명가 배 더 많았다 교육부는 산업구조 변화 정보기술 발달 등으로 고졸 일자리가 축소되고 전문대졸 이상 인력 수요가 확대돼 심화 
