title,link,description,pubDate,title_description
"KT, AI 분야 청년 인재 직접 키운다… ‘에이블스쿨’ 1기 입교",https://www.news2day.co.kr/article/20211213500249,KT 에이블스쿨은 청년들의 취업 경쟁력 향상과 신산업 분야 일자리 생산을 목표로 고용노동부가... 청년들이 IT 분야에서 꿈을 이루는데 직접 기여할 수 있어 매우 기쁘다”며 “KT 에이블스쿨이 청년들이 대한민국... ,"Tue, 14 Dec 2021 22:12:00 +0900","KT, AI 분야 청년 인재 직접 키운다… ‘에이블스쿨’ 1기 입교 KT 에이블스쿨은 청년들의 취업 경쟁력 향상과 신산업 분야 일자리 생산을 목표로 고용노동부가... 청년들이 IT 분야에서 꿈을 이루는데 직접 기여할 수 있어 매우 기쁘다”며 “KT 에이블스쿨이 청년들이 대한민국... "
영진전문대 나오면 취업문 '활짝',http://www.kbmaeil.com/news/articleView.html?idxno=916508,"취업 절벽 상황에서 단일학과 취업자 수가 200명을 돌파하는 등 영진전문대의 기업 현장 맞춤형 주문식... 한편, 영진전문대학교는 자율주행자동차, 인공지능 등 신산업·신기술에 발맞춰 반도체 제조와 IT소재 분야... ","Tue, 14 Dec 2021 20:32:00 +0900","영진전문대 나오면 취업문 '활짝' 취업 절벽 상황에서 단일학과 취업자 수가 200명을 돌파하는 등 영진전문대의 기업 현장 맞춤형 주문식... 한편, 영진전문대학교는 자율주행자동차, 인공지능 등 신산업·신기술에 발맞춰 반도체 제조와 IT소재 분야... "
건양대 취창업지원센터 진로취업동아리 성과발표회 가져,http://www.cctimes.kr/news/articleView.html?idxno=684764,"건양대학교 학생취업처 취창업지원센터는 13일 교내 진로취업동아리들의 주요 성과를 공유하고... 이날 발표회에서 BDL(제약생명공학과),BLOK(글로벌의료뷰티학과),Komsco(의료IT공학과),고도리(글로벌경영학과)... ","Tue, 14 Dec 2021 20:32:00 +0900","건양대 취창업지원센터 진로취업동아리 성과발표회 가져 건양대학교 학생취업처 취창업지원센터는 13일 교내 진로취업동아리들의 주요 성과를 공유하고... 이날 발표회에서 BDL(제약생명공학과),BLOK(글로벌의료뷰티학과),Komsco(의료IT공학과),고도리(글로벌경영학과)... "
"건양대 취창업지원센터, 진로취업동아리 성과발표회 개최",http://www.ccdn.co.kr/news/articleView.html?idxno=736195,"충청매일 CCDN 건양대학교(총장 이철성) 학생취업처(처장 정헌식) 취창업지원센터(센터장 송민선)가 지난... 이날 발표회에서는 BDL(제약생명공학과), BLOK(글로벌의료뷰티학과), Komsco(의료IT공학과), 고도리... ","Tue, 14 Dec 2021 20:02:00 +0900","건양대 취창업지원센터, 진로취업동아리 성과발표회 개최 충청매일 CCDN 건양대학교(총장 이철성) 학생취업처(처장 정헌식) 취창업지원센터(센터장 송민선)가 지난... 이날 발표회에서는 BDL(제약생명공학과), BLOK(글로벌의료뷰티학과), Komsco(의료IT공학과), 고도리... "
"[커버스토리] 클라우드 기반 ICT 강국, 오픈소스 생태계가 이끌 PaaS에 달렸다",http://www.itdaily.kr/news/articleView.html?idxno=205312, 클라우드 컴퓨팅 트렌드도 IT 시장의 변화만큼이나 빠르게 변하고 있다. 서비스형 인프라(IaaS)에서... 이수하면 취업 연계로 이어진다. 한 업계 담당자는 &quot;기업에게 투자는 확신과 성공이 보장돼야만 이뤄진다. 정말... ,"Tue, 14 Dec 2021 19:34:00 +0900","[커버스토리] 클라우드 기반 ICT 강국, 오픈소스 생태계가 이끌 PaaS에 달렸다  클라우드 컴퓨팅 트렌드도 IT 시장의 변화만큼이나 빠르게 변하고 있다. 서비스형 인프라(IaaS)에서... 이수하면 취업 연계로 이어진다. 한 업계 담당자는 &quot;기업에게 투자는 확신과 성공이 보장돼야만 이뤄진다. 정말... "
"KT 구현모 대표, 에이블스쿨로 청년 AI인재 양성 나선다",http://edu.donga.com/?p=article&ps=view&at_no=20211214173904143636,청년들의 취업 경쟁력을 높이고 신산업 분야 일자리를 창출하는 게 목표다. KT는 전국의 만 29세 이하... 청년들이 IT 분야에서 꿈을 실현하는데 직접적으로 기여할 수 있게 돼 기쁘다&quot;며 &quot;KT에이블스쿨이 청년들이... ,"Tue, 14 Dec 2021 19:02:00 +0900","KT 구현모 대표, 에이블스쿨로 청년 AI인재 양성 나선다 청년들의 취업 경쟁력을 높이고 신산업 분야 일자리를 창출하는 게 목표다. KT는 전국의 만 29세 이하... 청년들이 IT 분야에서 꿈을 실현하는데 직접적으로 기여할 수 있게 돼 기쁘다&quot;며 &quot;KT에이블스쿨이 청년들이... "
대한민국시.도의회의장협의회 제11회 우수의정대상에 부산시의원 8명 선정,http://www.breaknews.com/855941,사립학교의 균등한 지원'과 '특성화고 취업역량 강화 및 채용에 대한 대책' 마련... and it is evaluated that it has laid the foundation for a comprehensive and systematic youth policy for... ,"Tue, 14 Dec 2021 18:30:00 +0900",대한민국시.도의회의장협의회 제11회 우수의정대상에 부산시의원 8명 선정 사립학교의 균등한 지원'과 '특성화고 취업역량 강화 및 채용에 대한 대책' 마련... and it is evaluated that it has laid the foundation for a comprehensive and systematic youth policy for... 
"조선대 광주전남지역혁신플랫폼, IT잡 페스티벌 협업 플랫폼 구축",http://www.newsway.co.kr/news/view?tp=1&ud=2021121418002603496,"이어지는 IT기업 현장면접이 가장 큰 인기를 끌었다. 또한 메타버스를 활용한 온·오프라인 성과물 공유회와, 취업이 절실한 학생들을 위한 면접·취업 기회 제공, 각 기관 간 협업플랫폼을 구축했다는 점에서 의미가... ","Tue, 14 Dec 2021 18:18:00 +0900","조선대 광주전남지역혁신플랫폼, IT잡 페스티벌 협업 플랫폼 구축 이어지는 IT기업 현장면접이 가장 큰 인기를 끌었다. 또한 메타버스를 활용한 온·오프라인 성과물 공유회와, 취업이 절실한 학생들을 위한 면접·취업 기회 제공, 각 기관 간 협업플랫폼을 구축했다는 점에서 의미가... "
"광주시, 시민 1인당 일상회복지원금 10만원씩 지급",http://www.breaknews.com/855864,"3077명의 취업유발효과가 나타나는 것으로 보고됐다. 이용섭 광주광역시장과... It is assumed that there may be errors in the English translation. Gwangju City to pay 100,000 won each as a daily... ","Tue, 14 Dec 2021 18:02:00 +0900","광주시, 시민 1인당 일상회복지원금 10만원씩 지급 3077명의 취업유발효과가 나타나는 것으로 보고됐다. 이용섭 광주광역시장과... It is assumed that there may be errors in the English translation. Gwangju City to pay 100,000 won each as a daily... "
"전남도, ‘청년 문화복지비’ 통큰 지원",http://www.breaknews.com/855865,"고졸부터 대졸 취업 준비생을 비롯한 사회초년생에게 전남도가 든든한 동반자가... It is assumed that there may be errors in the English translation. Jeollanam-do, ‘Youth Cultural Welfare... ","Tue, 14 Dec 2021 18:02:00 +0900","전남도, ‘청년 문화복지비’ 통큰 지원 고졸부터 대졸 취업 준비생을 비롯한 사회초년생에게 전남도가 든든한 동반자가... It is assumed that there may be errors in the English translation. Jeollanam-do, ‘Youth Cultural Welfare... "
