,company,title,career,degree,work_type,work_place,duty,due_date
1,(학) 연세대학교,연세대학교 정규직원(8급) 채용, 경력무관, 대학교(4년)↑, 정규직, 서울 서대문구,#교육기관#대학교#웹개발#웹마스터#RDBMS,~ 12/10(금)
2,㈜이엠텍,(주)이엠텍 및 관계사 대졸 정기 신입사원 채용, 신입," 대학(2,3년)↑", 정규직, 경기 안양시,#전기#전자#머신러닝#알고리즘#임베디드,~ 12/12(일)
3,(주)쏘카,2022년 쏘카 채용연계형 인턴 모집, 신입, 대학교(4년)↑, 인턴직, 서울 성동구,#렌터카#임대#데이터분석가#데이터시각화#인프라,13시마감
4,청오디피케이(주),도미노피자 각 부문 (자회사/관계사포함) 공개채용, 경력무관, 학력무관, 정규직 · 계약직, 서울 강남구,#음식료#테이크아웃#프랜차이즈#피자·스파게티#기술지원,~ 12/13(월)
5,(주)비즈코,2021년 신입사원 수시 채용(일본어 가능자 우대), 신입, 학력무관, 정규직, 아시아·중동 인도네시아,#무역업#상사#유통업#모델링#미들웨어,~ 12/05(일)
6,에이에스이코리아(주),ASE KOREA 각 부문 신입 모집, 신입," 대학(2,3년)↑", 정규직, 경기 파주시,#전기#SE(시스템엔지니어)#모델링#IIS#RDBMS,~ 12/15(수)
7,(주)플래티어,2022년 상반기 신입사원 공개 채용, 신입, 대학교(4년)↑, 정규직, 서울 송파구,#소프트웨어개발#데이터엔지니어#앱개발#웹개발#웹마스터,오늘마감
8,메가존클라우드(주),[메가존클라우드] Sales & Marketing 채용, 경력무관, 학력무관, 정규직 · 인턴직, 서울 강남구,#SI·시스템통합#보안컨설팅#정보보안#IT컨설팅#SE(시스템엔지니어),~ 12/31(금)
9,클라우드그램(주),[클라우드그램] 2021 하반기 각 부문별 채용, 경력무관, 학력무관, 정규직, 서울 강남구,#소프트웨어개발#솔루션업체#백엔드/서버개발#보안컨설팅#앱개발,~ 12/31(금)
10,롯데캐피탈(주),"2021년 11월 롯데캐피탈 신입사원 채용 일반전형(금융영업,신..", 신입, 고졸↑, 정규직, 서울 강남구,#담보대출#신용대출#여신#캐피탈#학자금대출,~ 12/05(일)
