title,link,description,pubDate,title_description
‘부동산투기’ 전직 공무원 유죄,http://www.jndn.com/article.php?aid=1638442006327776005,부동산 투기 혐의로 재판에 넘겨진 광주 광산구청 전직 간부 공무원이 유죄를 선고받았다. 광주지법... 재판부는 “A씨는 업무상 비밀을 이용해 친인척 명의로 부동산을 매수해 광산구청 공직자들에 대한 신뢰가... ,"Thu, 02 Dec 2021 19:50:00 +0900",‘부동산투기’ 전직 공무원 유죄 부동산 투기 혐의로 재판에 넘겨진 광주 광산구청 전직 간부 공무원이 유죄를 선고받았다. 광주지법... 재판부는 “A씨는 업무상 비밀을 이용해 친인척 명의로 부동산을 매수해 광산구청 공직자들에 대한 신뢰가... 
"(영상)은행권, 비금융 신사업 진출 본격화…알뜰폰 이어 배달까지",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005099171,하나은행은 개인이 온라인 경매를 통해 중고차를 사고팔 수 있는 ‘원더카 직거래 경매 서비스’와 고객 맞춤형 아파트를 찾아주는 ‘부동산 리치고’ 등 다양한 생활 밀착형 서비스를 제공하고 있습니다. 2일... ,"Thu, 02 Dec 2021 19:48:00 +0900","(영상)은행권, 비금융 신사업 진출 본격화…알뜰폰 이어 배달까지 하나은행은 개인이 온라인 경매를 통해 중고차를 사고팔 수 있는 ‘원더카 직거래 경매 서비스’와 고객 맞춤형 아파트를 찾아주는 ‘부동산 리치고’ 등 다양한 생활 밀착형 서비스를 제공하고 있습니다. 2일... "
&quot;은행에 부동산·유통 등 타업종 투자 허용해야&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004888170,은행연합회 '디지털시대의 금융 겸업주의' 세미나 은행도 부동산·유통 등 다양한 비(非)금융업종을 겸할 수... 투자일임업·부동산 외 투자자문업을 은행 겸영 업무에 추가하고 은행이 부동산·헬스·자동차·통신·유통... ,"Thu, 02 Dec 2021 19:47:00 +0900",&quot;은행에 부동산·유통 등 타업종 투자 허용해야&quot; 은행연합회 '디지털시대의 금융 겸업주의' 세미나 은행도 부동산·유통 등 다양한 비(非)금융업종을 겸할 수... 투자일임업·부동산 외 투자자문업을 은행 겸영 업무에 추가하고 은행이 부동산·헬스·자동차·통신·유통... 
"청와대, 다주택자 양도세 완화론 일축…“다음 정부에서 검토할 문제”",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=028&aid=0002570222,앞서 박완주 민주당 정책위의장은 “(다주택자 양도세 완화를) 배제하지 않고 검토하고 있다”며 부동산 정책 변화를 언급해 논란을 일으킨 바 있다. 박수현 수석은 “지금 부동산 시장을 모니터링 해보면 주택가격 상승... ,"Thu, 02 Dec 2021 19:41:00 +0900","청와대, 다주택자 양도세 완화론 일축…“다음 정부에서 검토할 문제” 앞서 박완주 민주당 정책위의장은 “(다주택자 양도세 완화를) 배제하지 않고 검토하고 있다”며 부동산 정책 변화를 언급해 논란을 일으킨 바 있다. 박수현 수석은 “지금 부동산 시장을 모니터링 해보면 주택가격 상승... "
"이재명, 선대위 개편 마무리...조동연 논란엔 &quot;국민 판단 지켜보겠다&quot;",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001672491,후보는 부동산 정책을 문재인 정부의 가장 큰 실패 영역이라고 평가했습니다. 그러면서 수도권 도심 용적률이나 층수 규제를 풀어 양질의 공공주택 공급을 늘리는 등 추가 대책을 통해 부동산 가격을 안정시킬 자신이... ,"Thu, 02 Dec 2021 19:38:00 +0900","이재명, 선대위 개편 마무리...조동연 논란엔 &quot;국민 판단 지켜보겠다&quot; 후보는 부동산 정책을 문재인 정부의 가장 큰 실패 영역이라고 평가했습니다. 그러면서 수도권 도심 용적률이나 층수 규제를 풀어 양질의 공공주택 공급을 늘리는 등 추가 대책을 통해 부동산 가격을 안정시킬 자신이... "
"윤석열 &quot;대출 규제 합리적으로 조정하겠다, 정부실패를 국민이 책임져&quot;",https://www.businesspost.co.kr/BP?command=article_view&num=262566,그러면서 &quot;이 정부는 부동산 가격 잡겠다면서 항상 서민만 잡는다&quot;며 &quot;서민들의 꿈을 응원하는 대출정책을... 윤 후보는 &quot;상황이 이렇게 된 이유는 금융당국의 무리한 대출 총량 줄이기 때문&quot;이라며 &quot;정부는 부동산 정책의... ,"Thu, 02 Dec 2021 19:38:00 +0900","윤석열 &quot;대출 규제 합리적으로 조정하겠다, 정부실패를 국민이 책임져&quot; 그러면서 &quot;이 정부는 부동산 가격 잡겠다면서 항상 서민만 잡는다&quot;며 &quot;서민들의 꿈을 응원하는 대출정책을... 윤 후보는 &quot;상황이 이렇게 된 이유는 금융당국의 무리한 대출 총량 줄이기 때문&quot;이라며 &quot;정부는 부동산 정책의... "
전북 아파트 값 '고공행진',http://www.jeollailbo.com/news/articleView.html?idxno=643574,한국부동산원이 2일 발표한 '11월 5주(29일 기준) 전국 주간 아파트 가격동향'에 따르면 전북 아파트값은 0.... 이 중 부동산 규제조치 중 하나인 '조정대상지역'으로 묶인 전주지역 아파트 시장은 지역별로 증감을... ,"Thu, 02 Dec 2021 19:30:00 +0900",전북 아파트 값 '고공행진' 한국부동산원이 2일 발표한 '11월 5주(29일 기준) 전국 주간 아파트 가격동향'에 따르면 전북 아파트값은 0.... 이 중 부동산 규제조치 중 하나인 '조정대상지역'으로 묶인 전주지역 아파트 시장은 지역별로 증감을... 
"&quot;새만금 그린수소복합단지, 수소 생산·공급기지 최적지&quot;",http://www.jeollailbo.com/news/articleView.html?idxno=643608,도시계획ㆍ부동산개발 관련 전문가 9명이 참여했다. 이날 회의에서는 새만금에 조성되는... 전문가들은 새만금 수변도시가 해외부동산 투자자에게 매력적인 상품으로 주목받기 위해서는 '탄소중립 도시'로서의 미래... ,"Thu, 02 Dec 2021 19:30:00 +0900","&quot;새만금 그린수소복합단지, 수소 생산·공급기지 최적지&quot; 도시계획ㆍ부동산개발 관련 전문가 9명이 참여했다. 이날 회의에서는 새만금에 조성되는... 전문가들은 새만금 수변도시가 해외부동산 투자자에게 매력적인 상품으로 주목받기 위해서는 '탄소중립 도시'로서의 미래... "
"‘통장 잔고증명 위조’ 혐의, 윤석열 장모 징역 1년 구형",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003657069,"또 “위조된 잔고 증명서를 직접 행사하거나 행사를 공모한 사실도 없고, 이 사건 관련 부동산의 매매 대금을 부담한 적도 없다”고 밝혔다. 최씨에 대한 선고 공판은 오는 23일 열린다. 최씨는 이 사건과 별개로... ","Thu, 02 Dec 2021 19:27:00 +0900","‘통장 잔고증명 위조’ 혐의, 윤석열 장모 징역 1년 구형 또 “위조된 잔고 증명서를 직접 행사하거나 행사를 공모한 사실도 없고, 이 사건 관련 부동산의 매매 대금을 부담한 적도 없다”고 밝혔다. 최씨에 대한 선고 공판은 오는 23일 열린다. 최씨는 이 사건과 별개로... "
옥천군 토지정보업무 종합평가 우수기관 선정,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1496985,"토지행정, 지적관리, 부동산정보, 공간정보 지적재조사 등 5개 분야 토지정보업무 관련 옥천군은... 2일 군에 따르면 토지정보업무종합평가는 충북도내 11개 시군을 대상으로 토지행정, 지적관리, 부동산정보, 공간정보... ","Thu, 02 Dec 2021 19:26:00 +0900","옥천군 토지정보업무 종합평가 우수기관 선정 토지행정, 지적관리, 부동산정보, 공간정보 지적재조사 등 5개 분야 토지정보업무 관련 옥천군은... 2일 군에 따르면 토지정보업무종합평가는 충북도내 11개 시군을 대상으로 토지행정, 지적관리, 부동산정보, 공간정보... "
