,company_Index,memberid,value
0,1,sky,0
1,1,sky2,0
2,2,sky,0
3,2,sky2,0
4,3,sky,0
5,3,sky2,0
6,4,sky,0
7,4,sky2,0
8,5,sky,0
9,5,sky2,0
10,6,sky,0
11,6,sky2,0
12,7,sky,0
13,7,sky2,0
14,8,sky,1
15,8,sky2,0
16,9,sky,0
17,9,sky2,0
18,10,sky,0
19,10,sky2,0
20,11,sky,0
21,11,sky2,0
22,12,sky,0
23,12,sky2,0
24,13,sky,0
25,13,sky2,0
26,14,sky,0
27,14,sky2,0
28,15,sky,0
29,15,sky2,0
30,16,sky,0
31,16,sky2,0
32,17,sky,0
33,17,sky2,0
34,18,sky,0
35,18,sky2,0
36,19,sky,0
37,19,sky2,0
38,20,sky,0
39,20,sky2,0
40,21,sky,0
41,21,sky2,0
42,22,sky,0
43,22,sky2,0
44,23,sky,0
45,23,sky2,0
46,24,sky,0
47,24,sky2,0
48,25,sky,0
49,25,sky2,0
50,26,sky,0
51,26,sky2,0
52,27,sky,0
53,27,sky2,0
54,28,sky,0
55,28,sky2,0
56,29,sky,0
57,29,sky2,0
58,30,sky,0
59,30,sky2,0
60,31,sky,0
61,31,sky2,0
62,32,sky,0
63,32,sky2,0
64,33,sky,0
65,33,sky2,0
66,34,sky,0
67,34,sky2,0
68,35,sky,0
69,35,sky2,0
70,36,sky,0
71,36,sky2,0
72,37,sky,0
73,37,sky2,0
74,38,sky,0
75,38,sky2,0
76,39,sky,0
77,39,sky2,0
78,40,sky,0
79,40,sky2,0
80,41,sky,0
81,41,sky2,0
82,42,sky,0
83,42,sky2,0
84,43,sky,0
85,43,sky2,0
86,44,sky,0
87,44,sky2,0
88,45,sky,0
89,45,sky2,0
90,46,sky,0
91,46,sky2,0
92,47,sky,0
93,47,sky2,0
94,48,sky,0
95,48,sky2,0
96,49,sky,0
97,49,sky2,0
98,50,sky,0
99,50,sky2,0
100,51,sky,0
101,51,sky2,0
102,52,sky,0
103,52,sky2,0
104,53,sky,0
105,53,sky2,0
106,54,sky,0
107,54,sky2,0
108,55,sky,0
109,55,sky2,0
110,56,sky,0
111,56,sky2,0
112,57,sky,0
113,57,sky2,0
114,58,sky,0
115,58,sky2,0
116,59,sky,0
117,59,sky2,0
118,60,sky,0
119,60,sky2,0
120,61,sky,0
121,61,sky2,0
122,62,sky,0
123,62,sky2,0
124,63,sky,0
125,63,sky2,0
126,64,sky,0
127,64,sky2,0
128,65,sky,0
129,65,sky2,0
130,66,sky,0
131,66,sky2,0
132,67,sky,0
133,67,sky2,0
134,68,sky,0
135,68,sky2,0
136,69,sky,0
137,69,sky2,0
138,70,sky,0
139,70,sky2,0
140,71,sky,0
141,71,sky2,0
142,72,sky,0
143,72,sky2,0
144,73,sky,0
145,73,sky2,0
146,74,sky,0
147,74,sky2,0
148,75,sky,0
149,75,sky2,1
150,76,sky,0
151,76,sky2,0
152,77,sky,0
153,77,sky2,0
154,78,sky,0
155,78,sky2,0
156,79,sky,0
157,79,sky2,0
158,80,sky,0
159,80,sky2,0
160,81,sky,0
161,81,sky2,0
162,82,sky,0
163,82,sky2,0
164,83,sky,0
165,83,sky2,0
166,84,sky,0
167,84,sky2,0
168,85,sky,0
169,85,sky2,0
170,86,sky,0
171,86,sky2,0
172,87,sky,0
173,87,sky2,0
174,88,sky,0
175,88,sky2,0
176,89,sky,0
177,89,sky2,0
178,90,sky,0
179,90,sky2,0
180,91,sky,0
181,91,sky2,0
182,92,sky,0
183,92,sky2,0
184,93,sky,0
185,93,sky2,0
186,94,sky,0
187,94,sky2,0
188,95,sky,0
189,95,sky2,0
190,96,sky,0
191,96,sky2,0
192,97,sky,0
193,97,sky2,0
194,98,sky,0
195,98,sky2,0
196,99,sky,0
197,99,sky2,0
198,100,sky,0
199,100,sky2,0
200,101,sky,0
201,101,sky2,0
202,102,sky,0
203,102,sky2,0
204,103,sky,0
205,103,sky2,0
206,104,sky,0
207,104,sky2,0
208,105,sky,0
209,105,sky2,0
210,106,sky,0
211,106,sky2,0
212,107,sky,0
213,107,sky2,0
214,108,sky,0
215,108,sky2,0
216,109,sky,0
217,109,sky2,0
218,110,sky,0
219,110,sky2,0
220,111,sky,0
221,111,sky2,0
222,112,sky,0
223,112,sky2,0
224,113,sky,0
225,113,sky2,0
226,114,sky,0
227,114,sky2,0
228,115,sky,0
229,115,sky2,0
230,116,sky,0
231,116,sky2,0
232,117,sky,0
233,117,sky2,0
234,118,sky,0
235,118,sky2,0
236,119,sky,0
237,119,sky2,0
238,120,sky,0
239,120,sky2,0
240,121,sky,0
241,121,sky2,0
242,122,sky,0
243,122,sky2,0
244,123,sky,0
245,123,sky2,0
246,124,sky,0
247,124,sky2,0
248,125,sky,0
249,125,sky2,0
250,126,sky,0
251,126,sky2,0
252,127,sky,0
253,127,sky2,0
254,128,sky,0
255,128,sky2,0
256,129,sky,0
257,129,sky2,0
258,130,sky,0
259,130,sky2,0
260,131,sky,0
261,131,sky2,0
262,132,sky,0
263,132,sky2,0
264,133,sky,1
265,133,sky2,0
266,134,sky,0
267,134,sky2,0
268,135,sky,0
269,135,sky2,0
270,136,sky,0
271,136,sky2,0
272,137,sky,0
273,137,sky2,0
274,138,sky,0
275,138,sky2,0
276,139,sky,0
277,139,sky2,0
278,140,sky,0
279,140,sky2,0
280,141,sky,0
281,141,sky2,0
282,142,sky,0
283,142,sky2,0
284,143,sky,0
285,143,sky2,0
286,144,sky,0
287,144,sky2,0
288,145,sky,0
289,145,sky2,0
290,146,sky,0
291,146,sky2,0
292,147,sky,0
293,147,sky2,0
294,148,sky,0
295,148,sky2,0
296,149,sky,0
297,149,sky2,0
298,150,sky,0
299,150,sky2,0
300,151,sky,0
301,151,sky2,0
302,152,sky,0
303,152,sky2,0
304,153,sky,0
305,153,sky2,0
306,154,sky,0
307,154,sky2,0
308,155,sky,0
309,155,sky2,0
310,156,sky,0
311,156,sky2,0
312,157,sky,0
313,157,sky2,0
314,158,sky,0
315,158,sky2,0
316,159,sky,0
317,159,sky2,0
318,160,sky,0
319,160,sky2,0
320,161,sky,0
321,161,sky2,0
322,162,sky,0
323,162,sky2,0
324,163,sky,0
325,163,sky2,0
326,164,sky,0
327,164,sky2,0
328,165,sky,0
329,165,sky2,0
330,166,sky,0
331,166,sky2,0
332,167,sky,0
333,167,sky2,0
334,168,sky,0
335,168,sky2,0
336,169,sky,0
337,169,sky2,0
338,170,sky,0
339,170,sky2,0
340,171,sky,0
341,171,sky2,0
342,172,sky,0
343,172,sky2,0
344,173,sky,0
345,173,sky2,0
346,174,sky,0
347,174,sky2,0
348,175,sky,0
349,175,sky2,0
350,176,sky,0
351,176,sky2,0
352,177,sky,0
353,177,sky2,0
354,178,sky,0
355,178,sky2,0
356,179,sky,0
357,179,sky2,0
358,180,sky,0
359,180,sky2,0
360,181,sky,0
361,181,sky2,0
362,182,sky,0
363,182,sky2,0
364,183,sky,0
365,183,sky2,0
366,184,sky,0
367,184,sky2,0
368,185,sky,0
369,185,sky2,0
370,186,sky,0
371,186,sky2,0
372,187,sky,0
373,187,sky2,0
374,188,sky,0
375,188,sky2,0
376,189,sky,0
377,189,sky2,0
378,190,sky,0
379,190,sky2,0
380,191,sky,0
381,191,sky2,0
382,192,sky,0
383,192,sky2,0
384,193,sky,0
385,193,sky2,0
386,194,sky,0
387,194,sky2,0
388,195,sky,0
389,195,sky2,0
390,196,sky,0
391,196,sky2,0
392,197,sky,0
393,197,sky2,0
394,198,sky,0
395,198,sky2,0
396,199,sky,0
397,199,sky2,0
398,200,sky,0
399,200,sky2,0
400,201,sky,0
401,201,sky2,0
402,202,sky,0
403,202,sky2,0
404,203,sky,0
405,203,sky2,0
406,204,sky,0
407,204,sky2,0
408,205,sky,0
409,205,sky2,0
410,206,sky,0
411,206,sky2,0
412,207,sky,0
413,207,sky2,0
414,208,sky,0
415,208,sky2,0
416,209,sky,0
417,209,sky2,0
418,210,sky,0
419,210,sky2,0
420,211,sky,0
421,211,sky2,0
422,212,sky,0
423,212,sky2,0
424,213,sky,0
425,213,sky2,0
426,214,sky,0
427,214,sky2,0
428,215,sky,0
429,215,sky2,0
430,216,sky,0
431,216,sky2,0
432,217,sky,0
433,217,sky2,0
434,218,sky,0
435,218,sky2,0
436,219,sky,0
437,219,sky2,0
438,220,sky,0
439,220,sky2,0
440,221,sky,0
441,221,sky2,0
442,222,sky,0
443,222,sky2,0
444,223,sky,0
445,223,sky2,0
446,224,sky,0
447,224,sky2,0
448,225,sky,0
449,225,sky2,0
450,226,sky,0
451,226,sky2,0
452,227,sky,0
453,227,sky2,0
454,228,sky,0
455,228,sky2,0
456,229,sky,0
457,229,sky2,0
458,230,sky,0
459,230,sky2,0
460,231,sky,0
461,231,sky2,0
462,232,sky,0
463,232,sky2,0
464,233,sky,0
465,233,sky2,0
466,234,sky,0
467,234,sky2,0
468,235,sky,0
469,235,sky2,0
470,236,sky,0
471,236,sky2,0
472,237,sky,0
473,237,sky2,0
474,238,sky,0
475,238,sky2,0
476,239,sky,0
477,239,sky2,0
478,240,sky,0
479,240,sky2,0
480,241,sky,0
481,241,sky2,0
482,242,sky,0
483,242,sky2,0
484,243,sky,0
485,243,sky2,0
486,244,sky,0
487,244,sky2,0
488,245,sky,0
489,245,sky2,0
490,246,sky,0
491,246,sky2,0
492,247,sky,0
493,247,sky2,0
494,248,sky,0
495,248,sky2,0
496,249,sky,0
497,249,sky2,0
498,250,sky,0
499,250,sky2,0
500,251,sky,0
501,251,sky2,0
502,252,sky,0
503,252,sky2,0
504,253,sky,0
505,253,sky2,0
506,254,sky,0
507,254,sky2,0
508,255,sky,0
509,255,sky2,0
510,256,sky,0
511,256,sky2,0
512,257,sky,0
513,257,sky2,0
514,258,sky,0
515,258,sky2,0
516,259,sky,0
517,259,sky2,0
518,260,sky,0
519,260,sky2,0
520,261,sky,0
521,261,sky2,0
522,262,sky,0
523,262,sky2,0
524,263,sky,0
525,263,sky2,0
526,264,sky,0
527,264,sky2,0
528,265,sky,0
529,265,sky2,0
530,266,sky,0
531,266,sky2,0
532,267,sky,0
533,267,sky2,0
534,268,sky,0
535,268,sky2,0
536,269,sky,0
537,269,sky2,0
538,270,sky,0
539,270,sky2,0
540,271,sky,0
541,271,sky2,0
542,272,sky,0
543,272,sky2,0
544,273,sky,0
545,273,sky2,0
546,274,sky,0
547,274,sky2,0
548,275,sky,0
549,275,sky2,0
550,276,sky,0
551,276,sky2,0
552,277,sky,0
553,277,sky2,0
554,278,sky,0
555,278,sky2,0
556,279,sky,0
557,279,sky2,0
558,280,sky,0
559,280,sky2,0
560,281,sky,0
561,281,sky2,0
562,282,sky,0
563,282,sky2,0
564,283,sky,0
565,283,sky2,0
566,284,sky,0
567,284,sky2,0
568,285,sky,0
569,285,sky2,0
570,286,sky,0
571,286,sky2,0
572,287,sky,0
573,287,sky2,0
574,288,sky,0
575,288,sky2,0
576,289,sky,0
577,289,sky2,0
578,290,sky,0
579,290,sky2,0
580,291,sky,0
581,291,sky2,0
582,292,sky,0
583,292,sky2,0
584,293,sky,0
585,293,sky2,0
586,294,sky,0
587,294,sky2,0
588,295,sky,0
589,295,sky2,0
590,296,sky,0
591,296,sky2,0
592,297,sky,0
593,297,sky2,0
594,298,sky,0
595,298,sky2,0
596,299,sky,0
597,299,sky2,0
598,300,sky,0
599,300,sky2,0
600,301,sky,0
601,301,sky2,0
602,302,sky,0
603,302,sky2,0
604,303,sky,0
605,303,sky2,0
606,304,sky,0
607,304,sky2,0
608,305,sky,0
609,305,sky2,0
610,306,sky,0
611,306,sky2,0
612,307,sky,0
613,307,sky2,0
614,308,sky,0
615,308,sky2,0
616,309,sky,0
617,309,sky2,0
618,310,sky,0
619,310,sky2,0
620,311,sky,0
621,311,sky2,0
622,312,sky,0
623,312,sky2,0
624,313,sky,0
625,313,sky2,0
626,314,sky,0
627,314,sky2,0
628,315,sky,0
629,315,sky2,0
630,316,sky,0
631,316,sky2,0
632,317,sky,0
633,317,sky2,0
634,318,sky,0
635,318,sky2,0
636,319,sky,0
637,319,sky2,0
638,320,sky,0
639,320,sky2,0
640,321,sky,0
641,321,sky2,0
642,322,sky,0
643,322,sky2,0
644,323,sky,0
645,323,sky2,0
646,324,sky,0
647,324,sky2,0
648,325,sky,0
649,325,sky2,0
650,326,sky,0
651,326,sky2,0
652,327,sky,0
653,327,sky2,0
654,328,sky,0
655,328,sky2,0
656,329,sky,0
657,329,sky2,0
658,330,sky,0
659,330,sky2,0
660,331,sky,0
661,331,sky2,0
662,332,sky,0
663,332,sky2,0
664,333,sky,0
665,333,sky2,0
666,334,sky,0
667,334,sky2,0
668,335,sky,0
669,335,sky2,0
670,336,sky,0
671,336,sky2,0
672,337,sky,0
673,337,sky2,0
674,338,sky,0
675,338,sky2,0
676,339,sky,0
677,339,sky2,0
678,340,sky,0
679,340,sky2,0
680,341,sky,0
681,341,sky2,0
682,342,sky,0
683,342,sky2,0
684,343,sky,0
685,343,sky2,0
686,344,sky,0
687,344,sky2,0
688,345,sky,0
689,345,sky2,0
690,346,sky,0
691,346,sky2,0
692,347,sky,0
693,347,sky2,0
694,348,sky,0
695,348,sky2,0
696,349,sky,0
697,349,sky2,0
698,350,sky,0
699,350,sky2,0
700,351,sky,0
701,351,sky2,0
702,352,sky,0
703,352,sky2,0
704,353,sky,0
705,353,sky2,0
706,354,sky,0
707,354,sky2,0
708,355,sky,0
709,355,sky2,0
710,356,sky,0
711,356,sky2,0
712,357,sky,0
713,357,sky2,0
714,358,sky,0
715,358,sky2,0
716,359,sky,0
717,359,sky2,0
718,360,sky,0
719,360,sky2,0
720,361,sky,0
721,361,sky2,0
722,362,sky,0
723,362,sky2,0
724,363,sky,0
725,363,sky2,0
726,364,sky,0
727,364,sky2,0
728,365,sky,0
729,365,sky2,0
730,366,sky,0
731,366,sky2,0
732,367,sky,0
733,367,sky2,0
734,368,sky,0
735,368,sky2,0
736,369,sky,0
737,369,sky2,0
738,370,sky,0
739,370,sky2,0
740,371,sky,0
741,371,sky2,0
742,372,sky,0
743,372,sky2,0
744,373,sky,0
745,373,sky2,0
746,374,sky,0
747,374,sky2,0
748,375,sky,0
749,375,sky2,0
750,376,sky,0
751,376,sky2,0
752,377,sky,0
753,377,sky2,0
754,378,sky,0
755,378,sky2,0
756,379,sky,0
757,379,sky2,0
758,380,sky,0
759,380,sky2,0
760,381,sky,0
761,381,sky2,0
762,382,sky,0
763,382,sky2,0
764,383,sky,0
765,383,sky2,0
766,384,sky,0
767,384,sky2,0
768,385,sky,0
769,385,sky2,0
