,기업명,직무,경력,학력,근무지,근무형태,분류,상세링크,기업정보
0,태광식품,"온라인 채널 영업 및 관리, 인플루언서 마케팅 담당자 모집 (신입/경력)",신입·경력,초대졸↑,서울 마포구 외,정규직,"['식품가공, 문서관리, 문서작성, 사무보조, 홈페이지관리, 마케팅, 바이럴마케팅, 소셜미디어, 프로모션, 브랜드, 이벤트, 프로모션, 홍보, 홍보기획, SNS운영, 국내영업, 납품영업, 식품영업, 일반영업, 거래선개발관리, 거래처관리, 매출관리, 영업관리, 영업기획, 영업지원, 쇼핑몰, 웹사이트운영, 카페·블로그관리, 컨텐츠관리, 컨텐츠에디터']",https://www.jobkorea.co.kr/Recruit/GI_Read/36805110?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36805110?rPageCode=PL
1,㈜삼표,삼표그룹 사무직 채용(수시),신입·경력,초대졸↑,서울 종로구 외,정규직,"['경영기획, 기획, 기획조사, 변화관리, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 인수·합병, 전략, 조직관리, 타당성분석, MBA, 감사, 재무, 재무기획, 재무회계, 주식IR, 통계, CFA, CPA, 국내영업, 납품영업, 법인영업, 일반영업, 장비영업, 거래처관리, 고객관리, 납품관리, 매출관리, 영업관리, 영업기획, 영업지원, 채권관리, 시스템분석, 시스템설계, 시스템엔지니어, DBA, 감정평가, 견적·시세, 경매입찰, 공인중개사, 매입·매각, 부동산, 부동산개발, 부동산경매, 부동산시행, 부동산컨설팅, 분양대행, 분양상담사, 아파트·빌라, 양도·양수, 임대·임대컨설팅, 주택관리사, 해외부동산, 상가·사무실, 영업·홍보, 결산, 법인결산, 재무, 회계, CFA, CPA']",https://www.jobkorea.co.kr/Recruit/GI_Read/36800092?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36800092?rPageCode=PL
2,㈜센서시스템기술,전자회로 연구개발 경력직원 채용,경력8년↑,초대졸↑,경기 안산시 외,정규직,"['전자, 전자회로, 시스템프로그래머, 펌웨어, 펌웨어, 하드웨어, 소프트웨어, 회로, 기술연구소, 전기·전자, 정보통신·IT, 회로설계, 설계엔지니어, 임베디드, 전기, 전기·전자회로, 펌웨어, 회로설계, Analog, PADS, 전기·전자']",https://www.jobkorea.co.kr/Recruit/GI_Read/36805149?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36805149?rPageCode=PL
3,㈜GS리테일,디지털커머스 GS SHOP사업부문 AMD 채용,경력,초대졸↑,서울 강남구 외,계약직,"['가전, 운영지원, 주방용품, 푸드, 행사기획, 디지털커머스, 경리, 전표입력, 가맹점관리(SV), 물류관리, 상품기획, 식품MD, 재고관리, 창고관리, MD, AMD, 쇼핑몰, 웹사이트운영, 컨텐츠관리, 포토샵']",https://www.jobkorea.co.kr/Recruit/GI_Read/36802895?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36802895?rPageCode=PL
4,㈜미디어로그,방송채널 홍보/마케팅 및 광고기획 분야 경력 채용,경력3년↑,대졸↑,서울 마포구,정규직,"['종합유선방송, 케이블방송, 광고기획, 온라인광고, 모바일앱개발, 소프트웨어개발, 솔루션, SI, SM, 네트웍구축, 모바일, 모바일App, 스마트폰, 아이폰, 안드로이드, WindowsMobile, 기획, 기획조사, 사업기획, 서비스기획, 신규사업·BD, 전략, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 소셜미디어, 시장분석, 업무제휴, 판촉, 퍼블리싱, 프로모션, AE, CMO, CRM, IMC, BM, 광고관리, 브랜드, 언론홍보, 프로모션, 홍보, 홍보기획, PR, SNS운영, 납품관리, 매출관리, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, 광고기획, 광고제작, 브랜딩, 포지셔닝']",https://www.jobkorea.co.kr/Recruit/GI_Read/36802442?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36802442?rPageCode=PL
5,㈜비티소프트,비티소프트 2021년 하반기 부문별 신입/경력 채용,신입·경력,학력무관,서울 구로구,정규직,"['B2B, B2C, 백앤드, 프레임워크, Back-end, GIT, FrameWork, Jira, JPA, NoSQL, PL, SPRING, Wiki, 스프링클라우드, 비티소프트, 데이터베이스, SQL, 모바일기획, 사용자평가, 스토리보드, 웹기획, 웹서비스기획, 제안·컨설팅, PM, 웹프로그래머, Java, SQL, Java, SQL']",https://www.jobkorea.co.kr/Recruit/GI_Read/36802321?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36802321?rPageCode=PL
6,㈜태영건설,2022년 정규직 경력사원 공채,경력2년↑,대졸↑,서울 영등포구 외,정규직,"['건축기사, 건축시공, 견적, 도로설계, 산업안전, 기획, 사업기획, 서비스기획, 신규사업·BD, 결산, 관리회계, 급여관리, 부가세신고, 예산관리, 원가회계, 전산회계, 전표입력, 출납, 판매관리, 회계, ERP운용, SAP, 결산, 세무, 외환, 자금, 재무, 재무기획, 재무회계, 건설자재, 구매관리, 물류관리, 물류센터, 유통관리, 자재관리, 자재구매, 자재통합, MRO, SCM, 응용프로그래머, 전산전공, C, C#, C++, C++Builder, Oracle, Python, SQL, Unix, VisualC++, WAS, 가상현실, 건축시공, 인테리어, 인테리어설계, 인테리어시공, CAD, 건축감리, 건축시공, 건축CM, 공사감리, 샵드로잉, 설계감리, 시공, 시공감리, 종합감리, 토목감리, 현장관리, 현장소장, 가설설계, 교량설계, 미장, 상하수도, 조경, 측량, 토목, 토목기사, 도시계획, 계측, 경량·골조, 구조']",https://www.jobkorea.co.kr/Recruit/GI_Read/36801272?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36801272?rPageCode=PL
7,던롭스포츠코리아㈜,각 부문 신입 및 경력채용,신입·경력,학력무관,서울 서초구,"정규직                 외
","['면세점, 물류, 백화점, 숍마스터, 유통, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 시장분석, 업무제휴, 키워드광고, 물류, 배차, 외자구매, 자재관리, 자재구매, 자재구매기획, 창고관리, 지게차운전, 건설자재, 구매관리, 물류관리, 물류센터, 상품입출고, 외자구매, 유통관리, 자재관리, 재고관리, 국내영업, 일반영업, 가맹점관리, 거래처관리, 고객관리, 납품관리, 영업관리, 영업지원, 고객상담, 고객응대, 고객지원, 콜센터, CS, 바이럴마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 레저, 스포츠']",https://www.jobkorea.co.kr/Recruit/GI_Read/36784955?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36784955?rPageCode=PL
8,㈜얍엑스넷(YapExNet C,2021년 하반기 각 부문 경력사원 채용,경력3년↑,학력무관,서울 강남구,정규직,"['백엔드, 프론트엔드, 프레임워크, express, Nodejs, Typescript, vuejs, NestJs, Dropwizard, 소프트웨어개발, 모바일기획, 웹기획, 웹서비스기획, 정보설계, 제안·컨설팅, 컨텐츠기획, PM, UI설계, 웹프로그래머, Java, 응용프로그래머, Java, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, UI·UX']",https://www.jobkorea.co.kr/Recruit/GI_Read/36790606?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36790606?rPageCode=PL
9,오텍오티스파킹시스템(유),"경영지원, 공항사업, ICT개발 채용",신입·경력1년↑,초대졸↑,서울 영등포구 외,"정규직                 외
","['정보처리기사, 인천공항, 전기공사기사, 주차설비, 플랫폼 개발, 플랫폼, AWS, ICT, java Script, Platform 개발, 정보처리기사, 결산, 경리, 경영지원, 관리회계, 급여관리, 더존, 부가세신고, 세무, 원가회계, 전산회계, 전표입력, 회계, 회계감사, ERP운용, 감사, 결산, 재무회계, 데이터베이스, MySQL, 데이터마이닝, MySQL, 응용프로그래머, 전산전공, API, C, C#, Java, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, HMI, MMI, PLC, 자바스크립트, 사물인터넷(IoT), 데이터분석, 설계엔지니어, 임베디드, 전기, 전기·전자회로, 전기설비, 펌웨어, 회로설계, 산업안전, 전기공사, 전기기사, 전기설비, 기계관리, 산업안전, 산업안전기사, 신호관제, 안전, 전기공사, 전기관리, 주차관제, 항공관제, 공항지상직, 전기·전자, 정보통신·IT']",https://www.jobkorea.co.kr/Recruit/GI_Read/36792579?rPageCode=PL,https://www.jobkorea.co.kr/Recruit/GI_Read/36792579?rPageCode=PL
