,기업명,직무,경력사항,학력,근무지,근무형태,분류,상세링크
0,(주)지에스아이티엠,[GS ITM] LH공사 프로젝트 VDI운영자 모집 (신입가능),경력 15년↓,대학교(4년)↑,서울전체,정규직,"['웹개발', '프론트엔드', 'SE(시스템엔지니어)', '인프라', 'DevOps']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41824188
1,(주)디지탈센스,보안솔루션 개발자,1 ~ 15년,고졸↑,서울전체,정규직,"['백엔드/서버개발', '웹개발', 'DBA', 'S/W', 'C#']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41825329
2,㈜해커스교육그룹,2021년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,신입 · 경력,학력무관,서울 서초구,정규직 · 계약직,"['백엔드/서버개발', '앱개발', '웹개발', '웹마스터', '정보보안']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41261154
3,부산-김해경전철(주),부산-김해경전철 분야별 채용 공고,신입 · 경력,고졸↑,경남 김해시,정규직 · 계약직,"['유지보수', '정보보안', '정보통신', '전기기사', '토목기술자']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41813439
4,(주)씨티브이,웹 개발 정규직 채용(신입/경력),경력무관,학력무관,인천 부평구,정규직,"['웹개발', '유지보수', 'ASP.NET', 'C#', 'Javascript']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41566832
5,(주)아이비에스,"JAVA / C#, .Net 개발자 정규직 신입/경력 채용",신입 · 경력,"대학(2,3년)↑",대전 유성구,정규직 · 프리랜서,"['백엔드/서버개발', '웹개발', '유지보수', '프론트엔드', 'SE(시스템엔지니어)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41746890&adsCategoryItem=effect_bold&
6,한국이콜랩(유),[외국계 화학] 각 부문 신입/경력 채용,신입 · 경력,학력무관,서울 송파구,정규직 · 계약직,"['백엔드/서버개발', '유지보수', '정보보안', '네트워크', '방화벽']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41702991&adsCategoryItem=effect_bold&
7,(주)아이마켓코리아,각 부문 경력 모집(쇼핑몰/물류시스템 운영개발),경력 1년↑,"대학(2,3년)↑",서울 강남구,정규직,"['기술지원', '백엔드/서버개발', '웹개발', '유지보수', '프론트엔드']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41735838&adsCategoryItem=effect_bold&
8,(사)부산벤처기업협회,2021 부산/경남 벤처기업 공동채용 공고,신입 · 경력,학력무관,부산 사상구,정규직,"['백엔드/서버개발', '웹개발', '프론트엔드', 'C#', 'C++']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41747487&adsCategoryItem=effect_bold&
9,유니닥스(주),유니닥스(주) 기술지원 신입/경력직 모집,신입 · 경력,"대학(2,3년)↑",서울 구로구,정규직,"['기술지원', '솔루션', '고객관리', '가전제품설치', '고객관리']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41752807&adsCategoryItem=effect_bold&
10,유니닥스(주),유니닥스(주) 개발자 신입 및 경력직 모집,신입 · 경력,대학교(4년)↑,서울 구로구,정규직,"['C#', 'C++', 'C언어', 'HTML', 'Java']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41752914&adsCategoryItem=effect_bold&
11,(주)라티스글로벌커뮤니케이션스,[라티스글로벌] L10N 부문 채용,경력무관,대학교(4년)↑,서울 송파구,정규직 · 계약직,"['게임개발', '데이터엔지니어', 'SE(시스템엔지니어)', '해외법인', '해외시장개척']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41753833&adsCategoryItem=effect_bold&
12,(주)펨트론,각 부문 신입/경력 채용,신입 · 경력,"대학(2,3년)↑",서울 금천구,정규직,"['웹개발', '퍼블리셔', 'SE(시스템엔지니어)', '머신러닝', '빅데이터']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41757757&adsCategoryItem=effect_bold&
13,(주)아이쿱,[메디컬 IT 기업] 각 분야별 인력 채용,경력 3년↑,"대학(2,3년)↑",서울 강남구,정규직,"['백엔드/서버개발', '프론트엔드', 'QA/테스터', 'Java', 'Javascript']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41777694&adsCategoryItem=effect_bold&
14,캐논코리아 주식회사,캐논코리아 각 부문 채용,신입 · 경력,"대학(2,3년)↑",서울 강남구,정규직,"['기술지원', 'SE(시스템엔지니어)', '솔루션', 'Android', 'iOS']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41783634&adsCategoryItem=effect_bold&
15,(주)유니테스트,㈜유니테스트 하반기 각 부문 신입 및 경력 채용,신입 · 경력,대학교(4년)↑,경기 용인시 기흥구,정규직,"['백엔드/서버개발', '앱개발', '유지보수', 'QA/테스터', 'SE(시스템엔지니어)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41791504&adsCategoryItem=effect_bold&
16,(주)카일이삼제스퍼,[HUMAX 그룹] 2022년 상반기 ㈜카일이삼제스퍼 부문별 신입 및 경력사원 모집,신입 · 경력,고졸↑,서울 금천구,정규직 · 계약직,"['솔루션', '법인결산', '회계결산', '총무', '문서작성']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41803148&adsCategoryItem=effect_bold&
17,(주)에넥스텔레콤,㈜에넥스텔레콤 관리부분 IT지원팀 채용 공고,신입 · 경력,학력무관,서울 강남구,정규직,"['유지보수', 'API', 'DBMS', 'ERP', 'ASP']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41803258&adsCategoryItem=effect_bold&
18,(주)미디어로그,"MVNO 개발 PM, PL",5 ~ 10년,대학교(4년)↑,서울전체,정규직,"['웹개발', '프론트엔드', 'DBA', 'Java', 'jQuery']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821812
19,(주)케이비에스비즈니스,삭도 연봉계약직 모집,신입 · 경력,학력무관,대전전체,계약직,"['네트워크', '임베디드', '정보통신', '회로설계', '전기제어']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41803021&adsCategoryItem=effect_bold&
20,(주)세오,2022년 상반기 부문별 신입 및 경력 공개채용 (병역특례가능),신입 · 경력,학력무관,경기 안양시 동안구,정규직,"['데이터분석가', '데이터엔지니어', '백엔드/서버개발', '앱개발', '웹개발']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41797510
21,(주)디지트론,"Digital H/W, 임베디드 S/W 및 GUI, RF 설계, 기구설계, 연구지원 분야   신입 및 경력 채용",신입 · 경력,"대학(2,3년)↑",경기 성남시 분당구,정규직,"['유지보수', 'QA/테스터', '임베디드', 'FPGA', 'H/W']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41811963
22,(주)디케이비엠시,2022년 상반기 DKBMC 신입/경력 채용 공고,신입 · 경력,학력무관,서울 강남구,정규직,"['데이터분석가', '웹개발', '웹마스터', '유지보수', '프론트엔드']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41812516
