,rank,company,title,duty,career,degree,work_place,work_type,due_date
0,1,기아㈜,스크랩각 부문별 신입/경력 채용,웹프로그래머응용프로그래머HTML·퍼블리싱·UI개발빅데이터·AI(인공지능) 외,신입·경력,대졸↑,"서울, 경기, 인천 외",정규직,~02/20(일)
1,2,㈜신흥,스크랩㈜신흥 및 계열사/관계사 경력 및 신입 사원 채용,웹프로그래머응용프로그래머DBA·데이터베이스웹마케팅 외,신입·경력,학력무관,"서울, 인천, 대전 외",정규직,~12/17(금)
2,3,㈜신성이엔지,스크랩㈜신성이엔지 공조사업장(증평) 인재채용,ERP·시스템분석·설계구매·자재설치·정비·A/S자동차·조선·기계 외,신입·경력,고졸↑,"충남, 충북",정규직,~12/31(금)
3,4,경기관광공사,스크랩경기관광공사 공무직 채용 공고,웹마케팅기획·전략·경영사무·총무·법무사무보조·문서작성 외,경력무관,학력무관,"서울, 경기","정규직, 계약직",~12/16(목)
4,5,㈜드림텍,스크랩2022년 ㈜드림텍 신입사원 공개채용,소프트웨어·하드웨어응용프로그래머시스템프로그래머ERP·시스템분석·설계 외,신입,대졸↑,"경기, 충남",정규직,~12/19(일)
5,6,동아출판㈜,스크랩2021년 하반기 신입(인턴) 및 경력사원 모집,웹기획·PM웹마케팅웹디자인동영상제작·편집 외,인턴·신입·경력,초대졸↑,서울,"정규직, 계약직 외",내일마감
6,7,㈜아이디스,스크랩2021년 하반기 신입 및 경력사원 대규모 모집,웹프로그래머응용프로그래머시스템프로그래머네트워크·서버·보안 외,신입·경력,학력무관,"경기, 대전",정규직,~12/19(일)
7,8,㈜대학내일,스크랩[통합대학내일]부문별 신입/경력/인턴 인재영입,빅데이터·AI(인공지능)기획·전략·경영마케팅·광고·분석홍보·PR 외,경력무관,학력무관,서울,정규직,상시채용
8,9,㈜다나와,스크랩㈜다나와 하반기 신입&경력 채용,웹프로그래머응용프로그래머시스템프로그래머DBA·데이터베이스 외,신입·경력,학력무관,서울,정규직,채용 시 마감
9,10,㈜삼표,스크랩삼표그룹 사무직 채용(수시),ERP·시스템분석·설계영업관리·지원·영업기획부동산·중개·분양·경매제품·서비스영업 외,신입·경력,초대졸↑,"서울, 경기",정규직,~12/19(일)
