,company,title,career,degree,work_type,work_place,duty,due_date
0,(주)위드케이,브랜드의류 및 식품/홈쇼핑-온라인 팀 인원충원합니다., 1 ~ 10년, 고졸↑, 정규직, 서울 강남구,#가공식품#남성의류#매출관리#브랜드관리#브랜드기획,~ 01/01(토)
1,현대글로비스(주),대졸 신입사원 채용, 신입, 대학교(4년)↑, 전국,,#운송·운수#정보보안#SE(시스템엔지니어)#전산회계#관리회계,내일마감
2,(주)원익홀딩스,2022년 상반기 각 부문 신입/경력 채용, 경력무관, 고졸↑, 정규직 · 계약직, 경기 평택시,#반도체#기술지원#인프라#회계사#CFO,~ 12/20(월)
3,오가노이드사이언스(주),[전 직군] 대규모 공개 채용, 경력무관, 학력무관, 정규직, 경기 성남시 분당구,#바이오#생명공학#데이터엔지니어#백엔드/서버개발#보안컨설팅,~ 12/31(금)
4,㈜이엠텍,(주)이엠텍 및 관계사 대졸 정기 신입사원 채용, 신입," 대학(2,3년)↑", 정규직, 경기 안양시,#전기#전자#머신러닝#알고리즘#임베디드,오늘마감
5,청오디피케이(주),도미노피자 각 부문 (자회사/관계사포함) 공개채용, 경력무관, 학력무관, 정규직 · 계약직, 서울 강남구,#음식료#테이크아웃#프랜차이즈#피자·스파게티#기술지원,내일마감
6,한국야스카와전기(주),한국야스카와전기㈜ 기술영업 (신입/정규직) 모집, 신입, 대학교(4년)↑, 정규직, 서울 영등포구,#전기#전자#기술지원#앱개발#솔루션,오늘마감
7,(주)엔켐,'2차전지 전해액 국내 1위' (주)엔켐 2022년도 상반기 신입 공채, 신입, 대학교(4년)↑, 정규직, 충남 천안시 동남구,#기술지원#데이터엔지니어#백엔드/서버개발#보안컨설팅#앱개발,진행예정
8,파이언넷(주),"2022년 대졸 신입사원 공개채용 (JAVA, 모바일, 웹개발자)", 신입, 대학교(4년)↑, 정규직, 서울 강서구,#SI·시스템통합#SM#소프트웨어개발#솔루션업체#앱개발,~ 12/15(수)
9,(재)부산테크노파크,"2021년 부산테크노파크 공무직군(정규직, 기간제) 공개채용", 경력무관, 학력무관, 정규직 · 계약직, 부산 강서구,#재단법인#협회#유지보수#시설관리#경비원,~ 12/20(월)
10,연세대학교원주세브란스기독병원,원주연세의료원 2022년도 일반직(정규직) 신규채용 공고, 경력무관, 고졸↑, 정규직, 강원 원주시,#대학병원#정보통신#사무행정#정보처리#물리치료사,~ 12/17(금)
